TABLE WeatherFileData_S901G,,,,,,,
ZipCode,County,State,CliZn,EnergyPriceID,WthrStationNum,;,WthrFileEPW
77802,Brazos County,TX,2A,2,722445,;,USA_TX_College.Station-Easterwood.Field.722445_TMY3.epw
77803,Brazos County,TX,2A,2,722445,;,USA_TX_College.Station-Easterwood.Field.722445_TMY3.epw
77807,Brazos County,TX,2A,2,722445,;,USA_TX_College.Station-Easterwood.Field.722445_TMY3.epw
77808,Brazos County,TX,2A,2,722445,;,USA_TX_College.Station-Easterwood.Field.722445_TMY3.epw
77830,Grimes County,TX,2A,2,722445,;,USA_TX_College.Station-Easterwood.Field.722445_TMY3.epw
77831,Grimes County,TX,2A,2,722445,;,USA_TX_College.Station-Easterwood.Field.722445_TMY3.epw
77833,Washington County,TX,2A,2,722445,;,USA_TX_College.Station-Easterwood.Field.722445_TMY3.epw
77835,Washington County,TX,2A,2,722445,;,USA_TX_College.Station-Easterwood.Field.722445_TMY3.epw
77836,Burleson County,TX,2A,2,722445,;,USA_TX_College.Station-Easterwood.Field.722445_TMY3.epw
77837,Robertson County,TX,2A,2,722445,;,USA_TX_College.Station-Easterwood.Field.722445_TMY3.epw
77840,Brazos County,TX,2A,2,722445,;,USA_TX_College.Station-Easterwood.Field.722445_TMY3.epw
77845,Brazos County,TX,2A,2,722445,;,USA_TX_College.Station-Easterwood.Field.722445_TMY3.epw
77853,Lee County,TX,2A,2,722445,;,USA_TX_College.Station-Easterwood.Field.722445_TMY3.epw
77855,Leon County,TX,2A,2,722445,;,USA_TX_College.Station-Easterwood.Field.722445_TMY3.epw
77856,Robertson County,TX,2A,2,722445,;,USA_TX_College.Station-Easterwood.Field.722445_TMY3.epw
77857,Milam County,TX,2A,2,722445,;,USA_TX_College.Station-Easterwood.Field.722445_TMY3.epw
77859,Robertson County,TX,2A,2,722445,;,USA_TX_College.Station-Easterwood.Field.722445_TMY3.epw
77861,Grimes County,TX,2A,2,722445,;,USA_TX_College.Station-Easterwood.Field.722445_TMY3.epw
77864,Madison County,TX,2A,2,722445,;,USA_TX_College.Station-Easterwood.Field.722445_TMY3.epw
77865,Leon County,TX,2A,2,722499,;,USA_TX_Nacogdoches.AWOS.722499_TMY3.epw
77867,Robertson County,TX,2A,2,722445,;,USA_TX_College.Station-Easterwood.Field.722445_TMY3.epw
77868,Grimes County,TX,2A,2,722445,;,USA_TX_College.Station-Easterwood.Field.722445_TMY3.epw
77871,Leon County,TX,2A,2,722445,;,USA_TX_College.Station-Easterwood.Field.722445_TMY3.epw
77872,Madison County,TX,2A,2,722445,;,USA_TX_College.Station-Easterwood.Field.722445_TMY3.epw
77873,Montgomery County,TX,2A,2,722445,;,USA_TX_College.Station-Easterwood.Field.722445_TMY3.epw
77876,Grimes County,TX,2A,2,722445,;,USA_TX_College.Station-Easterwood.Field.722445_TMY3.epw
77878,Burleson County,TX,2A,2,722445,;,USA_TX_College.Station-Easterwood.Field.722445_TMY3.epw
77879,Burleson County,TX,2A,2,722445,;,USA_TX_College.Station-Easterwood.Field.722445_TMY3.epw
77880,Washington County,TX,2A,2,722445,;,USA_TX_College.Station-Easterwood.Field.722445_TMY3.epw
77901,Victoria County,TX,2A,2,722550,;,USA_TX_Victoria.Rgnl.AP.722550_TMY3.epw
77904,Victoria County,TX,2A,2,722550,;,USA_TX_Victoria.Rgnl.AP.722550_TMY3.epw
