//Metal Ins and Framing List,,,,,,,,,
//Save this TAB as MetalInsFrameLayers.csv,,,,,,,,,
TABLE MetalInsFrameLayers,,,,,,,,,
CodeCat,MatList,FrmMat,FrmConfig,FrmDepth,FrmSize,CavityIns,Rvalue,// References 01,Reference 02
//Material Category,Material Name,FramingMaterial,Framing Configuration,Framing Depth,FramingSize,CavityInsulation (R-XX),Assembly R Value (h-ft2.F/Btu),Table 2013 JA4-10,S90.1G-2010
Other Floor,Metal Framed Floor - 16inOC - 2x6 - R0 ins.,Metal,Floor16inOC,2x6,2x6,0,0.003,// Table 4.4.5,
Other Floor,Metal Framed Floor - 16inOC - 2x6 - R11 ins.,Metal,Floor16inOC,2x6,2x6,11,5.309,// Table 4.4.5,
Other Floor,Metal Framed Floor - 16inOC - 2x6 - R13 ins.,Metal,Floor16inOC,2x6,2x6,13,5.854,// Table 4.4.5,
Other Floor,Metal Framed Floor - 16inOC - 2x6 - R19 ins.,Metal,Floor16inOC,2x6,2x6,19,6.92,// Table 4.4.5,
Other Floor,Metal Framed Floor - 16inOC - 2x8 - R19 ins.,Metal,Floor16inOC,2x8,2x8,19,7.414,// Table 4.4.5,
Other Floor,Metal Framed Floor - 16inOC - 2x8 - R22 ins.,Metal,Floor16inOC,2x8,2x8,22,7.815,// Table 4.4.5,
Other Floor,Metal Framed Floor - 16inOC - 2x10 - R30 ins.,Metal,Floor16inOC,2x10,2x10,30,9.383,// Table 4.4.5,
Other Floor,Metal Framed Floor - 16inOC - 2x12 - R38 ins.,Metal,Floor16inOC,2x12,2x12,38,10.756,// Table 4.4.5,
Other Floor,Metal Framed Floor - 24inOC - 2x6 - R0 ins.,Metal,Floor24inOC,2x6,2x6,0,0.003,// Table 4.4.5,
Other Floor,Metal Framed Floor - 24inOC - 2x6 - R11 ins.,Metal,Floor24inOC,2x6,2x6,11,6.576,// Table 4.4.5,
Other Floor,Metal Framed Floor - 24inOC - 2x6 - R13 ins.,Metal,Floor24inOC,2x6,2x6,13,7.544,// Table 4.4.5,
Other Floor,Metal Framed Floor - 24inOC - 2x6 - R19 ins.,Metal,Floor24inOC,2x6,2x6,19,9.037,// Table 4.4.5,
Other Floor,Metal Framed Floor - 24inOC - 2x8 - R19 ins.,Metal,Floor24inOC,2x8,2x8,19,9.564,// Table 4.4.5,
Other Floor,Metal Framed Floor - 24inOC - 2x8 - R22 ins.,Metal,Floor24inOC,2x8,2x8,22,10.336,// Table 4.4.5,
Other Floor,Metal Framed Floor - 24inOC - 2x10 - R30 ins.,Metal,Floor24inOC,2x10,2x10,30,12.443,// Table 4.4.5,
Other Floor,Metal Framed Floor - 24inOC - 2x12 - R38 ins.,Metal,Floor24inOC,2x12,2x12,38,14.569,// Table 4.4.5,
Other Floor,Floor Steel Joist - 16in24in36in48inOC - R0 ins.,Metal,Floor16in24in36in48inOC,AllSizes,AllSizes,0,0.91,//,Table A9.2b
Other Floor,Floor Steel Joist - 16in24in36in48inOC - R4 ins.,Metal,Floor16in24in36in48inOC,AllSizes,AllSizes,4,3.88,//,Table A9.2A
Other Floor,Floor Steel Joist - 16in24in36in48inOC - R5 ins.,Metal,Floor16in24in36in48inOC,AllSizes,AllSizes,5,4.8,//,Table A9.2A
Other Floor,Floor Steel Joist - 16in24in36in48inOC - R8 ins.,Metal,Floor16in24in36in48inOC,AllSizes,AllSizes,8,7.52,//,Table A9.2A
Other Floor,Floor Steel Joist - 16in24in36in48inOC - R10 ins.,Metal,Floor16in24in36in48inOC,AllSizes,AllSizes,10,9.2,//,Table A9.2A
Other Floor,Floor Steel Joist - 16in24in36in48inOC - R11 ins.,Metal,Floor16in24in36in48inOC,AllSizes,AllSizes,11,10.01,//,Table A9.2A
Other Floor,Floor Steel Joist - 16in24in36in48inOC - R12 ins.,Metal,Floor16in24in36in48inOC,AllSizes,AllSizes,12,10.8,//,Table A9.2A
Other Floor,Floor Steel Joist - 16in24in36in48inOC - R13 ins.,Metal,Floor16in24in36in48inOC,AllSizes,AllSizes,13,11.7,//,Table A9.2A
Other Floor,Floor Steel Joist - 16in24in36in48inOC - R15 ins.,Metal,Floor16in24in36in48inOC,AllSizes,AllSizes,15,13.2,//,Table A9.2A
Other Floor,Floor Steel Joist - 16in24in36in48inOC - R16 ins.,Metal,Floor16in24in36in48inOC,AllSizes,AllSizes,16,13.92,//,Table A9.2A
Other Floor,Floor Steel Joist - 16in24in36in48inOC - R19 ins.,Metal,Floor16in24in36in48inOC,AllSizes,AllSizes,19,16.34,//,Table A9.2A
Other Floor,Floor Steel Joist - 16in24in36in48inOC - R20 ins.,Metal,Floor16in24in36in48inOC,AllSizes,AllSizes,20,17,//,Table A9.2A
Other Floor,Floor Steel Joist - 16in24in36in48inOC - R21 ins.,Metal,Floor16in24in36in48inOC,AllSizes,AllSizes,21,17.64,//,Table A9.2A
