,,GlazingTint,FenestrationPanes,SHGC,VT,SHGC,VT,SHGC,VT,SHGC,VT,SHGC,VT,,;,Glazing Type,,,,,,,,,,,
,,FenestrationFraming=,,AluminumWithoutThermalBreak,AluminumWithoutThermalBreak,AluminumWithThermalBreak,AluminumWithThermalBreak,ReinforcedVinyl_AluminumCladWood,ReinforcedVinyl_AluminumCladWood,Wood_Vinyl,Wood_Vinyl,StructuralGlazing,StructuralGlazing,,;,,,,,,,,,,,,
,,ClearGlazing,ID-14: DoubleGlazing_1/4in_ArgonSpace_e=0.40 on surface 2 or 3,0.71,0.65,0.67,0.65,0.62,0.63,0.62,0.63,0.71,0.65,,;,"Double glazing, E = 0.40 on surface 2 or 3",,,,,,,,,,,
,,ClearGlazing,ID-15: DoubleGlazing_1/2in_ArgonSpace_e=0.40 on surface 2 or 3,0.71,0.65,0.67,0.65,0.62,0.63,0.62,0.63,0.71,0.65,,;,"Double glazing, E = 0.40 on surface 2 or 3",,,,,,,,,,,
,,ClearGlazing,ID-16: DoubleGlazing_1/4in_AirSpace_e=0.20 on surface 2 or 3,0.66,0.61,0.62,0.61,0.57,0.59,0.57,0.59,0.66,0.61,,;,"Double glazing, E = 0.20 on surface 2 or 3",,,,,,,,,,,
,,ClearGlazing,ID-17: DoubleGlazing_1/2in_AirSpace_e=0.20 on surface 2 or 3,0.66,0.61,0.62,0.61,0.57,0.59,0.57,0.59,0.66,0.61,,;,"Double glazing, E = 0.20 on surface 2 or 3",,,,,,,,,,,
,,ClearGlazing,ID-18: DoubleGlazing_1/4in_ArgonSpace_e=0.20 on surface 2 or 3,0.66,0.61,0.62,0.61,0.57,0.59,0.57,0.59,0.66,0.61,,;,"Double glazing, E = 0.20 on surface 2 or 3",,,,,,,,,,,
,,ClearGlazing,ID-19: DoubleGlazing_1/2in_ArgonSpace_e=0.20 on surface 2 or 3,0.66,0.61,0.62,0.61,0.57,0.59,0.57,0.59,0.66,0.61,,;,"Double glazing, E = 0.20 on surface 2 or 3",,,,,,,,,,,
,,ClearGlazing,ID-20: DoubleGlazing_1/4in_AirSpace_e=0.10 on surface 2 or 3,0.59,0.63,0.55,0.63,0.51,0.61,0.51,0.61,0.59,0.63,,;,"Double glazing, E = 0.10 on surface 2 or 3",,,,,,,,,,,
,,ClearGlazing,ID-21: DoubleGlazing_1/2in_AirSpace_e=0.10 on surface 2 or 3,0.59,0.63,0.55,0.63,0.51,0.61,0.51,0.61,0.59,0.63,,;,"Double glazing, E = 0.10 on surface 2 or 3",,,,,,,,,,,
,,ClearGlazing,ID-22: DoubleGlazing_1/4in_ArgonSpace_e=0.10 on surface 2 or 3,0.59,0.63,0.55,0.63,0.51,0.61,0.51,0.61,0.59,0.63,,;,"Double glazing, E = 0.10 on surface 2 or 3",,,,,,,,,,,
,,ClearGlazing,ID-23: DoubleGlazing_1/2in_ArgonSpace_e=0.10 on surface 2 or 3,0.59,0.63,0.55,0.63,0.51,0.61,0.51,0.61,0.59,0.63,,;,"Double glazing, E = 0.10 on surface 2 or 3",,,,,,,,,,,
;,,ClearGlazing,,0.77,0.89,0.77,0.89,0.77,0.89,0.77,0.89,0.77,0.89,,;,"Double glazing, acrylic/polycarbonate",,,,,,,,,,,
,,ClearGlazing,ID-24: DoubleGlazing_1/4in_AirSpace_e=0.05 on surface 2 or 3,0.59,0.63,0.55,0.63,0.51,0.61,0.51,0.61,0.59,0.63,,;,"Double glazing, E = 0.10 on surface 2 or 3",,,,,,,,,,,
,,ClearGlazing,ID-25: DoubleGlazing_1/2in_AirSpace_e=0.05 on surface 2 or 3,0.59,0.63,0.55,0.63,0.51,0.61,0.51,0.61,0.59,0.63,,;,"Double glazing, E = 0.10 on surface 2 or 3",,,,,,,,,,,
,,ClearGlazing,ID-26: DoubleGlazing_1/4in_ArgonSpace_e=0.05 on surface 2 or 3,0.59,0.63,0.55,0.63,0.51,0.61,0.51,0.61,0.59,0.63,,;,"Double glazing, E = 0.10 on surface 2 or 3",,,,,,,,,,,
,,ClearGlazing,ID-27: DoubleGlazing_1/2in_ArgonSpace_e=0.05 on surface 2 or 3,0.59,0.63,0.55,0.63,0.51,0.61,0.51,0.61,0.59,0.63,,;,"Double glazing, E = 0.10 on surface 2 or 3",,,,,,,,,,,
,,ClearGlazing,ID-28: TripleGlazing_1/4in_AirSpaces,0.60,0.59,0.56,0.59,0.52,0.57,0.52,0.57,0.60,0.59,,;,Triple Glazing,,,,,,,,,,,
,,ClearGlazing,ID-29: TripleGlazing_1/2in_AirSpaces,0.60,0.59,0.56,0.59,0.52,0.57,0.52,0.57,0.60,0.59,,;,Triple Glazing,,,,,,,,,,,
,,ClearGlazing,ID-30: TripleGlazing_1/4in_ArgonSpaces,0.60,0.59,0.56,0.59,0.52,0.57,0.52,0.57,0.60,0.59,,;,Triple Glazing,,,,,,,,,,,
,,ClearGlazing,ID-31: TripleGlazing_1/2in_ArgonSpaces,0.60,0.59,0.56,0.59,0.52,0.57,0.52,0.57,0.60,0.59,,;,Triple Glazing,,,,,,,,,,,
;,,ClearGlazing,,0.64,0.60,0.60,0.60,0.56,0.57,0.56,0.57,0.64,0.60,,;,"Triple Glazing, E= 0.40 on surface 2,3,4, or 5",,,,,,,,,,,
,,ClearGlazing,"ID-32: TripleGlazing_1/4in_AirSpaces_e=0.20 on surface 2,3,4 or 5",0.59,0.55,0.55,0.55,0.51,0.53,0.51,0.53,0.59,0.55,,;,"Triple Glazing, E= 0.20 on surface 2,3,4, or 5",,,,,,,,,,,
,,ClearGlazing,"ID-33: TripleGlazing_1/2in_AirSpaces_e=0.20 on surface 2,3,4 or 5",0.59,0.55,0.55,0.55,0.51,0.53,0.51,0.53,0.59,0.55,,;,"Triple Glazing, E= 0.20 on surface 2,3,4, or 5",,,,,,,,,,,
,,ClearGlazing,"ID-34: TripleGlazing_1/4in_ArgonSpaces_e=0.20 on surface 2,3,4 or 5",0.59,0.55,0.55,0.55,0.51,0.53,0.51,0.53,0.59,0.55,,;,"Triple Glazing, E= 0.20 on surface 2,3,4, or 5",,,,,,,,,,,
,,ClearGlazing,"ID-35: TripleGlazing_1/2in_ArgonSpaces_e=0.20 on surface 2,3,4 or 5",0.59,0.55,0.55,0.55,0.51,0.53,0.51,0.53,0.59,0.55,,;,"Triple Glazing, E= 0.20 on surface 2,3,4, or 5",,,,,,,,,,,
;,,ClearGlazing,,0.54,0.56,0.50,0.56,0.46,0.54,0.46,0.54,0.54,0.56,,;,"Triple Glazing, E= 0.10 on surface 2,3,4, or 5",,,,,,,,,,,
;,,ClearGlazing,,0.62,0.57,0.58,0.57,0.53,0.55,0.53,0.55,0.62,0.57,,;,"Triple Glazing, E= 0.40 on surfaces 3 and 5",,,,,,,,,,,
,,ClearGlazing,ID-36: TripleGlazing_1/4in_AirSpaces_e=0.20 on surface 2 or 3 and 4 or 5,0.56,0.51,0.52,0.51,0.48,0.49,0.48,0.49,0.56,0.51,,;,"Triple Glazing, E= 0.20 on surfaces 3 and 5",,,,,,,,,,,
,,ClearGlazing,ID-37: TripleGlazing_1/2in_AirSpaces_e=0.20 on surface 2 or 3 and 4 or 5,0.56,0.51,0.52,0.51,0.48,0.49,0.48,0.49,0.56,0.51,,;,"Triple Glazing, E= 0.20 on surfaces 3 and 5",,,,,,,,,,,
,,ClearGlazing,ID-38: TripleGlazing_1/4in_ArgonSpaces_e=0.20 on surface 2 or 3 and 4 or 5,0.56,0.51,0.52,0.51,0.48,0.49,0.48,0.49,0.56,0.51,,;,"Triple Glazing, E= 0.20 on surfaces 3 and 5",,,,,,,,,,,
,,ClearGlazing,ID-39: TripleGlazing_1/2in_ArgonSpaces_e=0.20 on surface 2 or 3 and 4 or 5,0.56,0.51,0.52,0.51,0.48,0.49,0.48,0.49,0.56,0.51,,;,"Triple Glazing, E= 0.20 on surfaces 3 and 5",,,,,,,,,,,
,,ClearGlazing,ID-40: TripleGlazing_1/4in_AirSpaces_e=0.10 on surface 2 or 3 and 4 or 5,0.47,0.54,0.43,0.54,0.40,0.52,0.40,0.52,0.47,0.54,,;,"Triple Glazing, E= 0.10 on surfaces 3 and 5",,,,,,,,,,,
,,ClearGlazing,ID-41: TripleGlazing_1/2in_AirSpaces_e=0.10 on surface 2 or 3 and 4 or 5,0.47,0.54,0.43,0.54,0.40,0.52,0.40,0.52,0.47,0.54,,;,"Triple Glazing, E= 0.10 on surfaces 3 and 5",,,,,,,,,,,
,,ClearGlazing,ID-42: TripleGlazing_1/4in_ArgonSpaces_e=0.10 on surface 2 or 3 and 4 or 5,0.47,0.54,0.43,0.54,0.40,0.52,0.40,0.52,0.47,0.54,,;,"Triple Glazing, E= 0.10 on surfaces 3 and 5",,,,,,,,,,,
,,ClearGlazing,ID-43: TripleGlazing_1/2in_ArgonSpaces_e=0.10 on surface 2 or 3 and 4 or 5,0.47,0.54,0.43,0.54,0.40,0.52,0.40,0.52,0.47,0.54,,;,"Triple Glazing, E= 0.10 on surfaces 3 and 5",,,,,,,,,,,
;,,ClearGlazing,,0.71,0.85,0.71,0.85,0.71,0.85,0.71,0.85,0.71,0.85,,;,"Triple Glazing, acrylic/polycarbonate",,,,,,,,,,,
,,ClearGlazing,ID-44: QuadrupleGlazing_1/4in_AirSpaces_e=0.10 on surface 2 or 3 and 4 or 5,0.41,0.48,0.37,0.48,0.33,0.46,0.33,0.46,0.41,0.48,,;,"Quadruple Glazing, E= 0.10 on surfaces 3 and 5",,,,,,,,,,,
,,ClearGlazing,ID-45: QuadrupleGlazing_1/2in_AirSpaces_e=0.10 on surface 2 or 3 and 4 or 5,0.41,0.48,0.37,0.48,0.33,0.46,0.33,0.46,0.41,0.48,,;,"Quadruple Glazing, E= 0.10 on surfaces 3 and 5",,,,,,,,,,,
