;,ASHRAE 90.1-2012 PRM,,,,,,,,,,,,,,,
,,Library - Reading Area,1,;,72,,,,,,,,,,,
,,Manufacturing - Corridor/Transition,1,;,73,,,,,,,,,,,
,,Manufacturing - Detailed Manufacturing 1.29 4,1,;,74,,,,,,,,,,,
,,Manufacturing - Equipment Room 0.95 6,1,;,75,,,,,,,,,,,
,,Manufacturing - Extra High Bay (>50 ft Floor to Ceiling Height),1,;,76,,,,,,,,,,,
,,Manufacturing - High Bay (25–50 ft Floor to Ceiling Height),1,;,77,,,,,,,,,,,
,,Manufacturing - Low Bay (<25 ft Floor to Ceiling Ht),1,;,78,,,,,,,,,,,
,,Multifamily - Dwelling/Sleeping Units,1,;,79,,,,,,,,,,,
,,Museum - General Exhibition,1,;,80,,,,,,,,,,,
,,Museum - Restoration,1,;,81,,,,,,,,,,,
,,Parking Garage - Garage Area,1,;,82,,,,,,,,,,,
,,Post Office - Sorting Area,1,;,83,,,,,,,,,,,
,,Religious Buildings - Audience Seating,1,;,84,,,,,,,,,,,
,,Religious Buildings - Fellowship Hall,1,;,85,,,,,,,,,,,
,,"Religious Buildings - Worship Pulpit, Choir",1,;,86,,,,,,,,,,,
,,Retail - Dressing/Fitting Room,0,;,87,,,,,,,,,,,
,,Retail - Mall Concourse,1,;,88,,,,,,,,,,,
,,"Retail - Sales Area (for accent lighting, see Section 9.6.3(c))",1,;,89,,,,,,,,,,,
,,Sports Arena - Audience Seating,1,;,90,,,,,,,,,,,
,,Sports Arena - Court Sports Arena—Class 4,1,;,91,,,,,,,,,,,
,,Sports Arena - Court Sports Arena—Class 3,1,;,92,,,,,,,,,,,
,,Sports Arena - Court Sports Arena—Class 2,1,;,93,,,,,,,,,,,
,,Sports Arena - Court Sports Arena—Class 1,1,;,94,,,,,,,,,,,
,,Sports Arena - Ring Sports Arena,1,;,95,,,,,,,,,,,
,,Transportation - Air/Train/Bus—Baggage Area,1,;,96,,,,,,,,,,,
,,Transportation - Airport—Concourse,1,;,97,,,,,,,,,,,
,,Transportation - Audience Seating,1,;,98,,,,,,,,,,,
,,Transportation - Terminal—Ticket Counter,1,;,99,,,,,,,,,,,
,,Warehouse - Fine Material Storage,-99,;,100,,,,,,,,,,,
,,Warehouse - Medium/Bulky Material Storage,-99,;,101,,,,,,,,,,,
,ENDTABLE,,,,,,,,,,,,,,,
