;,ASHRAE 90.1-2010 PRM Ruleset,,,,,,,,,,,
;,,,,,,,,,,,,
;,TABLE NAME:,,,,,,,,,,,
;,,DefaultSkyltUFactors,,,,,,,,,,
;,,,,,,,,,,,,
;,MODIFICATION HISTORY:,,,,,,,,,,,
;,,Date,Purpose,,,,,,,,,
;,,9/22/2014,90.1 2012 Update,,,,,,,,,
;,,,,,,,,,,,,
;,,,,,,,,,,,,
;,,,,,,,,,,,,
;,Reference:,,,,,,,,,,,
;,,,,,,,,,,,,
;,,,,,,,,,,,,
;,Notes:,,,,,,,,,,,
;,,,,,,,,,,,,
;,,,,,,,,,,,,
;,Syntax Examples:,,,,,,,,,,,
;,,"BaseSkylightFenPerformance:UFactor(""Fenestration Panes"",FenPanes,""Skylight Curb"",SkylightCurb,""FrameType"",FenFrm)",,,,,,,,,,
;,,,,,,,,,,,,
;,,,,,,,,,,,,
;,,,,,,,,,,,,
; ####################################  Start of Table ####################################,,,,,,,,,,,,
,TABLE DefaultSkyltUFactors,,,,,,,,,,,
,,FenestrationPanes,UFactor,UFactor,UFactor,UFactor,UFactor,UFactor,UFactor,UFactor,UFactor,UFactor
,,SkylightCurb=,CurbMounted,CurbMounted,CurbMounted,CurbMounted,CurbMounted,DeckMounted,DeckMounted,DeckMounted,DeckMounted,DeckMounted
,,FenestrationFraming=,AluminumWithoutThermalBreak,AluminumWithThermalBreak,ReinforcedVinyl_AluminumCladWood,Wood_Vinyl,StructuralGlazing,AluminumWithoutThermalBreak,AluminumWithThermalBreak,ReinforcedVinyl_AluminumCladWood,Wood_Vinyl,StructuralGlazing
,,ID-27: DoubleGlazing_1/2in_ArgonSpace_e=0.05 on surface 2 or 3,1.11,0.91,0.85,0.65,-999,0.63,0.52,-999,-999,0.47
,,ID-28: TripleGlazing_1/4in_AirSpaces,1.12,0.89,0.84,0.64,-999,0.64,0.53,-999,-999,0.48
,,ID-29: TripleGlazing_1/2in_AirSpaces,1.1,0.87,0.81,0.61,-999,0.62,0.51,-999,-999,0.45
,,ID-30: TripleGlazing_1/4in_ArgonSpaces,1.09,0.86,0.8,0.6,-999,0.61,0.5,-999,-999,0.44
,,ID-31: TripleGlazing_1/2in_ArgonSpaces,1.07,0.84,0.79,0.59,-999,0.59,0.48,-999,-999,0.42
,,"ID-32: TripleGlazing_1/4in_AirSpaces_e=0.20 on surface 2,3,4 or 5",1.08,0.85,0.79,0.59,-999,0.6,0.49,-999,-999,0.43
,,"ID-33: TripleGlazing_1/2in_AirSpaces_e=0.20 on surface 2,3,4 or 5",1.05,0.82,0.77,0.57,-999,0.57,0.46,-999,-999,0.41
,,"ID-34: TripleGlazing_1/4in_ArgonSpaces_e=0.20 on surface 2,3,4 or 5",1.02,0.79,0.74,0.54,-999,0.55,0.44,-999,-999,0.38
,,"ID-35: TripleGlazing_1/2in_ArgonSpaces_e=0.20 on surface 2,3,4 or 5",1.01,0.78,0.73,0.53,-999,0.54,0.43,-999,-999,0.37
,,ID-36: TripleGlazing_1/4in_AirSpaces_e=0.20 on surface 2 or 3 and 4 or 5,1.03,0.8,0.75,0.55,-999,0.56,0.45,-999,-999,0.39
