TABLE WeatherFileClimateZone_S901G,,,,,,,,
WthrStationNum,State,DsgnWB,WthrFileEPW,WthrFile,DesignDayFileDDY,HeatingDesignDay,CoolingDesignDay,LocationURL
703210,AK,71,USA_AK_Dillingham.AWOS.703210_TMY3.epw,USA_AK_Dillingham.AWOS.703210,USA_AK_Dillingham.AWOS.703210_TMY3.ddy,USA AK Dillingham AWOS Ann Htg 99 6% Condns DB,USA AK Dillingham AWOS Ann Clg 1% Condns DB=>MWB,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_AK_Dillingham.AWOS.703210_TMY3.zip
702650,AK,71,USA_AK_Eielson.AFB.702650_TMY3.epw,USA_AK_Eielson.AFB.702650,USA_AK_Eielson.AFB.702650_TMY3.ddy,USA AK Eielson AFB Ann Htg 99 6% Condns DB,USA AK Eielson AFB Ann Clg 1% Condns DB=>MWB,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_AK_Eielson.AFB.702650_TMY3.zip
702610,AK,71,USA_AK_Fairbanks.Intl.AP.702610_TMY3.epw,USA_AK_Fairbanks.Intl.AP.702610,USA_AK_Fairbanks.Intl.AP.702610_TMY3.ddy,USA AK Fairbanks Intl AP Ann Htg 99 6% Condns DB,USA AK Fairbanks Intl AP Ann Clg 1% Condns DB=>MWB,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_AK_Fairbanks.Intl.AP.702610_TMY3.zip
701940,AK,71,USA_AK_Fort.Yukon.701940_TMY3.epw,USA_AK_Fort.Yukon.701940,USA_AK_Fort.Yukon.701940_TMY3.ddy,USA AK Fort Yukon Ann Htg 99 6% Condns DB,USA AK Fort Yukon Ann Clg 1% Condns DB=>MWB,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_AK_Fort.Yukon.701940_TMY3.zip
702710,AK,71,USA_AK_Gulkana.702710_TMY3.epw,USA_AK_Gulkana.702710,USA_AK_Gulkana.702710_TMY3.ddy,USA AK Gulkana Ann Htg 99 6% Condns DB,USA AK Gulkana Ann Clg 1% Condns DB=>MWB,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_AK_Gulkana.702710_TMY3.zip
703410,AK,71,USA_AK_Homer.AP.703410_TMY3.epw,USA_AK_Homer.AP.703410,USA_AK_Homer.AP.703410_TMY3.ddy,USA AK Homer AP Ann Htg 99 6% Condns DB,USA AK Homer AP Ann Clg 1% Condns DB=>MWB,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_AK_Homer.AP.703410_TMY3.zip
702186,AK,71,USA_AK_Hooper.Bay.702186_TMY3.epw,USA_AK_Hooper.Bay.702186,USA_AK_Hooper.Bay.702186_TMY3.ddy,USA AK Hooper Bay Ann Htg 99 6% Condns DB,USA AK Hooper Bay Ann Clg 1% Condns DB=>MWB,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_AK_Hooper.Bay.702186_TMY3.zip
703400,AK,71,USA_AK_Iliamna.AP.703400_TMY3.epw,USA_AK_Iliamna.AP.703400,USA_AK_Iliamna.AP.703400_TMY3.ddy,USA AK Iliamna AP Ann Htg 99 6% Condns DB,USA AK Iliamna AP Ann Clg 1% Condns DB=>MWB,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_AK_Iliamna.AP.703400_TMY3.zip
703810,AK,71,USA_AK_Juneau.Intl.AP.703810_TMY3.epw,USA_AK_Juneau.Intl.AP.703810,USA_AK_Juneau.Intl.AP.703810_TMY3.ddy,USA AK Juneau Intl AP Ann Htg 99 6% Condns DB,USA AK Juneau Intl AP Ann Clg 1% Condns DB=>MWB,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_AK_Juneau.Intl.AP.703810_TMY3.zip
703855,AK,71,USA_AK_Kake.Seaplane.Base.703855_TMY3.epw,USA_AK_Kake.Seaplane.Base.703855,USA_AK_Kake.Seaplane.Base.703855_TMY3.ddy,USA AK Kake Seaplane Base Ann Htg 99 6% Condns DB,USA AK Kake Seaplane Base Ann Clg 1% Condns DB=>MWB,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_AK_Kake.Seaplane.Base.703855_TMY3.zip
