//Metal Ins and Framing List,,,,,,,,,
//Save this TAB as MetalInsFrameLayers.csv,,,,,,,,,
TABLE MetalInsFrameLayers,,,,,,,,,
CodeCat,MatList,FrmMat,FrmConfig,FrmDepth,FrmSize,CavityIns,Rvalue,// References 01,
//Material Category,Material Name,FramingMaterial,Framing Configuration,Framing Depth,FramingSize,CavityInsulation (R-XX),Assembly R Value (h-ft2.F/Btu),Table 2013 JA4-10,
Metal Framed Wall,Metal Framed Wall - 16inOC - 2x8 - R22 ins.,Metal,Wall16inOC,7_25in,2x8,22,4.71,// Table 4.3.3,
Metal Framed Wall,Metal Framed Wall - 16inOC - 2x8 - R25 ins.,Metal,Wall16inOC,7_25in,2x8,25,4.789,// Table 4.3.3,
Metal Framed Wall,Metal Framed Wall - 16inOC - 2x8 - R30 ins.,Metal,Wall16inOC,7_25in,2x8,30,4.829,// Table 4.3.3,
Metal Framed Wall,Metal Framed Wall - 24inOC - 2x4 - R0 ins.,Metal,Wall24inOC,3_5in,2x4,0,0.658,// Table 4.3.3,
Metal Framed Wall,Metal Framed Wall - 24inOC - 2x4 - R5 ins.,Metal,Wall24inOC,3_5in,2x4,5,1.463,// Table 4.3.3,
Metal Framed Wall,Metal Framed Wall - 24inOC - 2x4 - R11 ins.,Metal,Wall24inOC,3_5in,2x4,11,3.222,// Table 4.3.3,
Metal Framed Wall,Metal Framed Wall - 24inOC - 2x4 - R13 ins.,Metal,Wall24inOC,3_5in,2x4,13,3.386,// Table 4.3.3,
Metal Framed Wall,Metal Framed Wall - 24inOC - 2x4 - R15 ins.,Metal,Wall24inOC,3_5in,2x4,15,3.536,// Table 4.3.3,
Metal Framed Wall,Metal Framed Wall - 24inOC - 2x6 - R19 ins.,Metal,Wall24inOC,5_5in,2x6,19,4.558,// Table 4.3.3,
Metal Framed Wall,Metal Framed Wall - 24inOC - 2x6 - R21 ins.,Metal,Wall24inOC,5_5in,2x6,21,4.671,// Table 4.3.3,
Metal Framed Wall,Metal Framed Wall - 24inOC - 2x8 - R19 ins.,Metal,Wall24inOC,7_25in,2x8,19,4.996,// Table 4.3.3,
Metal Framed Wall,Metal Framed Wall - 24inOC - 2x8 - R22 ins.,Metal,Wall24inOC,7_25in,2x8,22,5.171,// Table 4.3.3,
Metal Framed Wall,Metal Framed Wall - 24inOC - 2x8 - R25 ins.,Metal,Wall24inOC,7_25in,2x8,25,5.263,// Table 4.3.3,
Metal Framed Wall,Metal Framed Wall - 24inOC - 2x8 - R30 ins.,Metal,Wall24inOC,7_25in,2x8,30,5.309,// Table 4.3.3,
Other Floor,Metal Framed Floor - 16inOC - 2x6 - R0 ins.,Metal,Floor16inOC,5_5in,2x6,0,0.003,// Table 4.4.5,
Other Floor,Metal Framed Floor - 16inOC - 2x6 - R11 ins.,Metal,Floor16inOC,5_5in,2x6,11,5.309,// Table 4.4.5,
Other Floor,Metal Framed Floor - 16inOC - 2x6 - R13 ins.,Metal,Floor16inOC,5_5in,2x6,13,5.854,// Table 4.4.5,
Other Floor,Metal Framed Floor - 16inOC - 2x6 - R19 ins.,Metal,Floor16inOC,5_5in,2x6,19,6.92,// Table 4.4.5,
Other Floor,Metal Framed Floor - 16inOC - 2x8 - R19 ins.,Metal,Floor16inOC,7_25in,2x8,19,7.414,// Table 4.4.5,
Other Floor,Metal Framed Floor - 16inOC - 2x8 - R22 ins.,Metal,Floor16inOC,7_25in,2x8,22,7.815,// Table 4.4.5,
Other Floor,Metal Framed Floor - 16inOC - 2x10 - R30 ins.,Metal,Floor16inOC,9_25in,2x10,30,9.383,// Table 4.4.5,
Other Floor,Metal Framed Floor - 16inOC - 2x12 - R38 ins.,Metal,Floor16inOC,11_25in,2x12,38,10.756,// Table 4.4.5,
Other Floor,Metal Framed Floor - 24inOC - 2x6 - R0 ins.,Metal,Floor24inOC,5_5in,2x6,0,0.003,// Table 4.4.5,
Other Floor,Metal Framed Floor - 24inOC - 2x6 - R11 ins.,Metal,Floor24inOC,5_5in,2x6,11,6.576,// Table 4.4.5,
Other Floor,Metal Framed Floor - 24inOC - 2x6 - R13 ins.,Metal,Floor24inOC,5_5in,2x6,13,7.544,// Table 4.4.5,
Other Floor,Metal Framed Floor - 24inOC - 2x6 - R19 ins.,Metal,Floor24inOC,5_5in,2x6,19,9.037,// Table 4.4.5,
Other Floor,Metal Framed Floor - 24inOC - 2x8 - R19 ins.,Metal,Floor24inOC,7_25in,2x8,19,9.564,// Table 4.4.5,
Other Floor,Metal Framed Floor - 24inOC - 2x8 - R22 ins.,Metal,Floor24inOC,7_25in,2x8,22,10.336,// Table 4.4.5,
Other Floor,Metal Framed Floor - 24inOC - 2x10 - R30 ins.,Metal,Floor24inOC,9_25in,2x10,30,12.443,// Table 4.4.5,
Other Floor,Metal Framed Floor - 24inOC - 2x12 - R38 ins.,Metal,Floor24inOC,11_25in,2x12,38,14.569,// Table 4.4.5,
Metal Building Roof,Metal Framed Roof - 16inOC - 2x4 - R11 ins.,Metal,Roof16inOC,3_5In,2x4,11,6.01,// Table 4.2.5,
Metal Building Roof,Metal Framed Roof - 16inOC - 2x4 - R13 ins.,Metal,Roof16inOC,3_5In,2x4,13,6.52,// Table 4.2.5,
Metal Building Roof,Metal Framed Roof - 16inOC - 2x4 - R15 ins.,Metal,Roof16inOC,3_5In,2x4,15,6.96,// Table 4.2.5,
Metal Building Roof,Metal Framed Roof - 16inOC - 2x4 - R19 ins.,Metal,Roof16inOC,3_5In,2x4,19,6.52,// Table 4.2.5,
Metal Building Roof,Metal Framed Roof - 16inOC - 2x6 - R11 ins.,Metal,Roof16inOC,5_5In,2x6,11,6.39,// Table 4.2.5,
Metal Building Roof,Metal Framed Roof - 16inOC - 2x6 - R13 ins.,Metal,Roof16inOC,5_5In,2x6,13,6.96,// Table 4.2.5,
Metal Building Roof,Metal Framed Roof - 16inOC - 2x6 - R15 ins.,Metal,Roof16inOC,5_5In,2x6,15,8.16,// Table 4.2.5,
Metal Building Roof,Metal Framed Roof - 16inOC - 2x6 - R19 ins.,Metal,Roof16inOC,5_5In,2x6,19,8.26,// Table 4.2.5,
Metal Building Roof,Metal Framed Roof - 16inOC - 2x8 - R19 ins.,Metal,Roof16inOC,7_25In,2x8,19,8.68,// Table 4.2.5,
Metal Building Roof,Metal Framed Roof - 16inOC - 2x8 - R21 ins.,Metal,Roof16inOC,7_25In,2x8,21,9.01,// Table 4.2.5,
Metal Building Roof,Metal Framed Roof - 16inOC - 2x10 - R25 ins.,Metal,Roof16inOC,9_25In,2x10,25,10.16,// Table 4.2.5,
Metal Building Roof,Metal Framed Roof - 16inOC - 2x10 - R30 ins.,Metal,Roof16inOC,9_25In,2x10,30,10.92,// Table 4.2.5,
Metal Building Roof,Metal Framed Roof - 16inOC - 2x12 - R30 ins.,Metal,Roof16inOC,11_25In,2x12,30,11.42,// Table 4.2.5,
Metal Building Roof,Metal Framed Roof - 16inOC - 2x12 - R38 ins.,Metal,Roof16inOC,11_25In,2x12,38,12.34,// Table 4.2.5,
Metal Building Roof,Metal Framed Roof - 16inOC - 2x14 - R38 ins.,Metal,Roof16inOC,13_25In,2x14,38,12.97,// Table 4.2.5,
Metal Building Roof,Metal Framed Roof - 24inOC - 2x4 - R11 ins.,Metal,Roof24inOC,3_5In,2x4,11,7.27,// Table 4.2.5,
Metal Building Roof,Metal Framed Roof - 24inOC - 2x4 - R13 ins.,Metal,Roof24inOC,3_5In,2x4,13,8.06,// Table 4.2.5,
Metal Building Roof,Metal Framed Roof - 24inOC - 2x4 - R15 ins.,Metal,Roof24inOC,3_5In,2x4,15,8.68,// Table 4.2.5,
Metal Building Roof,Metal Framed Roof - 24inOC - 2x4 - R19 ins.,Metal,Roof24inOC,3_5In,2x4,19,8.06,// Table 4.2.5,
Metal Building Roof,Metal Framed Roof - 24inOC - 2x6 - R11 ins.,Metal,Roof24inOC,5_5In,2x6,11,7.61,// Table 4.2.5,
Metal Building Roof,Metal Framed Roof - 24inOC - 2x6 - R13 ins.,Metal,Roof24inOC,5_5In,2x6,13,8.36,// Table 4.2.5,
Metal Building Roof,Metal Framed Roof - 24inOC - 2x6 - R15 ins.,Metal,Roof24inOC,5_5In,2x6,15,9.89,// Table 4.2.5,
