;,ASHRAE 90.1-2010 PRM Ruleset,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,
;,TABLE NAME:,,,,,,,,,,,,,,,,
;,,BaselineFenPerf.UFactor(,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,
;,MODIFICATION HISTORY:,,,,,,,,,,,,,,,,
;,,Date,Name,,Purpose,,,,,,,,,,,,
;,,9/22/2014,L. Hovee,,90.1 2012 Update,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,
;,Reference:,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,
;,Notes:,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,
;,Syntax Examples:,,,,,,,,,,,,,,,,
;,,BaselineFenPerf.UFactor(,,,,,,,,,,,,,,,
;,,ClimateZone,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,
; ####################################  Start of Table ####################################,,,,,,,,,,,,,,,,,
,TABLE BaselineFenPerf,,,,,,,,,,,,,,,,
,,ClimateZone,FenestrationType,FenestrationFraming,FenestrationProductType,SkylightCurb,SkylightGlazing,SkylightRoofRatioCat,UFactor,SHGC,VT,UFactor,SHGC,VT,UFactor,SHGC,VT
,,BaselineEnvelopeCategory=,,,,,,,Nonresidential,Nonresidential,Nonresidential,Residential,Residential,Residential,SemiExterior,SemiExterior,SemiExterior
,,3,Skylight,*,*,CurbMounted,Glass,GT 0.2,1.17,0.19,999,1.17,0.19,999,1.98,999,999
,,3,Skylight,*,*,CurbMounted,Plastic,LTE 0.2,1.3,0.65,999,1.3,0.27,999,1.9,999,999
,,3,Skylight,*,*,CurbMounted,Plastic,GT 0.2,1.3,0.34,999,1.3,0.27,999,1.9,999,999
,,3,Skylight,*,*,DeckMounted,*,LTE 0.2,0.69,0.39,999,0.69,0.36,999,1.36,999,999
,,3,Skylight,*,*,DeckMounted,*,GT 0.2,0.69,0.19,999,0.69,0.19,999,1.36,999,999
,,4,VerticalFenestration,Wood,AllOther,*,*,*,0.4,0.4,999,0.4,0.4,999,1.2,999,999
,,4,VerticalFenestration,Vinyl,AllOther,*,*,*,0.4,0.4,999,0.4,0.4,999,1.2,999,999
,,4,VerticalFenestration,Fiberglass,AllOther,*,*,*,0.4,0.4,999,0.4,0.4,999,1.2,999,999
,,4,VerticalFenestration,Other,AllOther,*,*,*,0.4,0.4,999,0.4,0.4,999,1.2,999,999
,,4,VerticalFenestration,Metal,CurtainwallStorefront,*,*,*,0.5,0.4,999,0.5,0.4,999,1.2,999,999
,,4,VerticalFenestration,Metal,EntranceDoor,*,*,*,0.85,0.4,999,0.85,0.4,999,1.2,999,999
,,4,VerticalFenestration,Metal,AllOther,*,*,*,0.55,0.4,999,0.55,0.4,999,1.2,999,999
,,4,Skylight,*,*,CurbMounted,Glass,LTE 0.2,1.17,0.49,999,0.98,0.36,999,1.98,999,999
,,4,Skylight,*,*,CurbMounted,Glass,GT 0.2,1.17,0.39,999,0.98,0.19,999,1.98,999,999
,,4,Skylight,*,*,CurbMounted,Plastic,LTE 0.2,1.3,0.65,999,1.3,0.62,999,1.9,999,999
,,4,Skylight,*,*,CurbMounted,Plastic,GT 0.2,1.3,0.34,999,1.3,0.27,999,1.9,999,999
