TABLE HotSmlS901GElectric070032CoilClg,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,DXSEER,DXEER,NumClgStages,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,
GuestRoom103_PTHP CoilClg,BaseSys2 CoilClg-31,DirectExpansion,BaseZnSys2-31,GuestRoom103 Thermal Zone,4980.419,5196.124,-99996,-99996,11.9,-99996,,
GuestRoom104_PTHP CoilClg,BaseSys2 CoilClg-32,DirectExpansion,BaseZnSys2-32,GuestRoom104 Thermal Zone,4579.834,4778.189,-99996,-99996,11.9,-99996,,
GuestRoom105_PTHP CoilClg,BaseSys2 CoilClg-33,DirectExpansion,BaseZnSys2-33,GuestRoom105 Thermal Zone,3996.077,4169.15,-99996,-99996,11.9,-99996,,
GuestRoom201_PTHP CoilClg,BaseSys2 CoilClg-34,DirectExpansion,BaseZnSys2-34,GuestRoom201 Thermal Zone,5089.348,5309.771,-99996,-99996,11.9,-99996,,
GuestRoom202_205_PTHP CoilClg,BaseSys2 CoilClg-35,DirectExpansion,BaseZnSys2-35,GuestRoom202_205 Thermal Zone,4518.201,4713.887,-99996,-99996,11.9,-99996,,
GuestRoom206_208_PTHP CoilClg,BaseSys2 CoilClg-36,DirectExpansion,BaseZnSys2-36,GuestRoom206_208 Thermal Zone,4865.761,5076.5,-99996,-99996,11.9,-99996,,
GuestRoom209_212_PTHP CoilClg,BaseSys2 CoilClg-37,DirectExpansion,BaseZnSys2-37,GuestRoom209_212 Thermal Zone,4464.835,4658.209,-99996,-99996,11.9,-99996,,
GuestRoom213_PTHP CoilClg,BaseSys2 CoilClg-38,DirectExpansion,BaseZnSys2-38,GuestRoom213 Thermal Zone,4649.113,4850.469,-99996,-99996,11.9,-99996,,
GuestRoom214_PTHP CoilClg,BaseSys2 CoilClg-39,DirectExpansion,BaseZnSys2-39,GuestRoom214 Thermal Zone,4387.4,4577.421,-99996,-99996,11.9,-99996,,
GuestRoom215_218_PTHP CoilClg,BaseSys2 CoilClg-40,DirectExpansion,BaseZnSys2-40,GuestRoom215_218 Thermal Zone,4216.453,4399.07,-99996,-99996,11.9,-99996,,
GuestRoom219_PTHP CoilClg,BaseSys2 CoilClg-41,DirectExpansion,BaseZnSys2-41,GuestRoom219 Thermal Zone,4450.144,4642.882,-99996,-99996,11.9,-99996,,
GuestRoom220_223_PTHP CoilClg,BaseSys2 CoilClg-42,DirectExpansion,BaseZnSys2-42,GuestRoom220_223 Thermal Zone,4171.431,4352.098,-99996,-99996,11.9,-99996,,
GuestRoom224_PTHP CoilClg,BaseSys2 CoilClg-43,DirectExpansion,BaseZnSys2-43,GuestRoom224 Thermal Zone,4343.675,4531.803,-99996,-99996,11.9,-99996,,
GuestRoom301_PTHP CoilClg,BaseSys2 CoilClg-44,DirectExpansion,BaseZnSys2-44,GuestRoom301 Thermal Zone,5036.402,5254.532,-99996,-99996,11.9,-99996,,
GuestRoom302_305_PTHP CoilClg,BaseSys2 CoilClg-45,DirectExpansion,BaseZnSys2-45,GuestRoom302_305 Thermal Zone,4560.04,4757.538,-99996,-99996,11.9,-99996,,
GuestRoom306_308_PTHP CoilClg,BaseSys2 CoilClg-46,DirectExpansion,BaseZnSys2-46,GuestRoom306_308 Thermal Zone,4993.149,5209.405,-99996,-99996,11.9,-99996,,
GuestRoom309_312_PTHP CoilClg,BaseSys2 CoilClg-47,DirectExpansion,BaseZnSys2-47,GuestRoom309_312 Thermal Zone,4549.92,4746.979,-99996,-99996,11.9,-99996,,
GuestRoom313_PTHP CoilClg,BaseSys2 CoilClg-48,DirectExpansion,BaseZnSys2-48,GuestRoom313 Thermal Zone,4678.736,4881.375,-99996,-99996,11.9,-99996,,
GuestRoom314_PTHP CoilClg,BaseSys2 CoilClg-49,DirectExpansion,BaseZnSys2-49,GuestRoom314 Thermal Zone,4370.738,4560.037,-99996,-99996,11.9,-99996,,
GuestRoom315_318_PTHP CoilClg,BaseSys2 CoilClg-50,DirectExpansion,BaseZnSys2-50,GuestRoom315_318 Thermal Zone,4252.476,4436.653,-99996,-99996,11.9,-99996,,
GuestRoom319_PTHP CoilClg,BaseSys2 CoilClg-51,DirectExpansion,BaseZnSys2-51,GuestRoom319 Thermal Zone,4346.432,4534.679,-99996,-99996,11.9,-99996,,
GuestRoom320_323_PTHP CoilClg,BaseSys2 CoilClg-52,DirectExpansion,BaseZnSys2-52,GuestRoom320_323 Thermal Zone,4229.237,4412.408,-99996,-99996,11.9,-99996,,
GuestRoom324_PTHP CoilClg,BaseSys2 CoilClg-53,DirectExpansion,BaseZnSys2-53,GuestRoom324 Thermal Zone,4308.214,4494.805,-99996,-99996,11.9,-99996,,
GuestRoom401_PTHP CoilClg,BaseSys2 CoilClg-54,DirectExpansion,BaseZnSys2-54,GuestRoom401 Thermal Zone,6506.637,6788.443,-99996,-99996,11.9,-99996,,
