TABLE OffSmlCECStd13020012STrmlUnit,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,
;,,,,,(cfm),(cfm),( cfm),,,,,
CoreZn TU,BaseUnctrl TrmlUnit,Uncontrolled,BaseAirSys3,Core_ZN Thermal Zone,1160.504,-99996,-99996,,,,,
Perim1 TU,BaseUnctrl TrmlUnit-2,Uncontrolled,BaseAirSys3-2,Perimeter_ZN_1 Thermal Zone,1133.371,-99996,-99996,,,,,
Perim2 TU,BaseUnctrl TrmlUnit-3,Uncontrolled,BaseAirSys3-3,Perimeter_ZN_2 Thermal Zone,668.61,-99996,-99996,,,,,
Perim3 TU,BaseUnctrl TrmlUnit-4,Uncontrolled,BaseAirSys3-4,Perimeter_ZN_3 Thermal Zone,954.455,-99996,-99996,,,,,
Perim4 TU,BaseUnctrl TrmlUnit-5,Uncontrolled,BaseAirSys3-5,Perimeter_ZN_4 Thermal Zone,765.939,-99996,-99996,,,,,
ENDTABLE,,,,,,,,,,,,
TABLE OffSmlCECStd13020012SCoilClg,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,DXSEER,DXEER,NumClgStages,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,
CoreZnCoolingCoil,BaseSys3 CoilClg,DirectExpansion,BaseAirSys3,Core_ZN Thermal Zone,32261.732,33659.008,-99996,13,10.845,1,,
Perim1ZnCoolingCoil,BaseSys3 CoilClg-2,DirectExpansion,BaseAirSys3-2,Perimeter_ZN_1 Thermal Zone,31507.438,32872.043,-99996,13,10.845,1,,
Perim2ZnCoolingCoil,BaseSys3 CoilClg-3,DirectExpansion,BaseAirSys3-3,Perimeter_ZN_2 Thermal Zone,19180.57,20011.293,-99996,13,10.845,1,,
Perim3ZnCoolingCoil,BaseSys3 CoilClg-4,DirectExpansion,BaseAirSys3-4,Perimeter_ZN_3 Thermal Zone,32058.75,33447.234,-99996,13,10.845,1,,
Perim4ZnCoolingCoil,BaseSys3 CoilClg-5,DirectExpansion,BaseAirSys3-5,Perimeter_ZN_4 Thermal Zone,23338.881,24349.701,-99996,13,10.845,1,,
ENDTABLE,,,,,,,,,,,,
TABLE OffSmlCECStd13020012SCoilHtg,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,FurnAFUE,FurnThrmlEff,,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,
CoreZnHeatingCoil,BaseSys3 CoilHtg,Furnace,BaseAirSys3,Core_ZN Thermal Zone,47391.449,47391.449,0,0.78,0.8,,,
Perim1ZnHeatingCoil,BaseSys3 CoilHtg-2,Furnace,BaseAirSys3-2,Perimeter_ZN_1 Thermal Zone,43796.324,43796.324,0,0.78,0.8,,,
Perim2ZnHeatingCoil,BaseSys3 CoilHtg-3,Furnace,BaseAirSys3-3,Perimeter_ZN_2 Thermal Zone,25868.375,25868.375,0,0.78,0.8,,,
Perim3ZnHeatingCoil,BaseSys3 CoilHtg-4,Furnace,BaseAirSys3-4,Perimeter_ZN_3 Thermal Zone,38345.824,38345.824,0,0.78,0.8,,,
Perim4ZnHeatingCoil,BaseSys3 CoilHtg-5,Furnace,BaseAirSys3-5,Perimeter_ZN_4 Thermal Zone,28683.773,28683.773,0,0.78,0.8,,,
ENDTABLE,,,,,,,,,,,,
TABLE OffSmlCECStd13020012SFan,,,,,,,,,,,,
PropName,BaseName,CtrlMthd,System,Zone,FlowCap,FlowMin,FlowEff,ModelingMthd,TotStaticPress,MtrHP,MtrPos,MtrEff
;,,,,,(cfm),(cfm),,,(inH2O),( hp),,
