TABLE RetlLrgCECStd13090012TrmlUnit,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,
;,,,,,(cfm),(cfm),( cfm),,,,,
Back_Office_TU,BaseVAVNoReheatTrmlUnit,VAVNoReheatBox,BaseAirSys7,Back_Office Zone,3655.915,1827.958,-99996,,,,,
Back_Shelving/Refrig_TU,BaseVAVNoReheatTrmlUnit-2,VAVNoReheatBox,BaseAirSys7-2,Back_Shelving/Refrig Zone,14366.333,7183.167,-99996,,,,,
Back_Storage_TU,BaseVAVNoReheatTrmlUnit-3,VAVNoReheatBox,BaseAirSys7-3,Back_Storage Zone,11749.224,5874.612,-99996,,,,,
Main_Entry_TU,BaseVAVNoReheatTrmlUnit-4,VAVNoReheatBox,BaseAirSys7-4,Main_Entry Zone,10205.657,5102.829,-99996,,,,,
Registers/Aisle_TU,BaseVAVNoReheatTrmlUnit-5,VAVNoReheatBox,BaseAirSys7-5,Registers/Aisle Zone,18457.719,9228.859,-99996,,,,,
Restroom_1_TU,BaseVAVNoReheatTrmlUnit-6,VAVNoReheatBox,BaseAirSys7-6,Restroom_1 Zone,3372.24,1686.12,-99996,,,,,
Restroom_2_TU,BaseVAVNoReheatTrmlUnit-7,VAVNoReheatBox,BaseAirSys7-7,Restroom_2 Zone,3373.87,1686.935,-99996,,,,,
Side_Entry_1_TU,BaseVAVNoReheatTrmlUnit-8,VAVNoReheatBox,BaseAirSys7-8,Side_Entry_1 Zone,10361.9,5180.95,-99996,,,,,
Side_Entry_2_TU,BaseVAVNoReheatTrmlUnit-9,VAVNoReheatBox,BaseAirSys7-9,Side_Entry_2 Zone,10715.672,5357.836,-99996,,,,,
Side_Shelving_East_TU,BaseVAVNoReheatTrmlUnit-10,VAVNoReheatBox,BaseAirSys7-10,Side_Shelving_East Zone,18417.131,9208.565,-99996,,,,,
Side_Shelving_West_TU,BaseVAVNoReheatTrmlUnit-11,VAVNoReheatBox,BaseAirSys7-11,Side_Shelving_West Zone,18403.746,9201.873,-99996,,,,,
Side_Storage_1_TU,BaseVAVNoReheatTrmlUnit-12,VAVNoReheatBox,BaseAirSys7-12,Side_Storage_1 Zone,10619.871,5309.936,-99996,,,,,
Side_Storage_2_TU,BaseVAVNoReheatTrmlUnit-13,VAVNoReheatBox,BaseAirSys7-13,Side_Storage_2 Zone,4930.685,2465.342,-99996,,,,,
ENDTABLE,,,,,,,,,,,,
TABLE RetlLrgCECStd13090012CoilClg,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,DXSEER,DXEER,NumClgStages,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,
Back_Office_CoilClg,BaseSys7 CoilClg,DirectExpansion,BaseAirSys7,Back_Office Zone,101266.344,105652.25,-99996,-99996,11,2,,
Back_Shelving/Refrig_CoilClg,BaseSys7 CoilClg-2,DirectExpansion,BaseAirSys7-2,Back_Shelving/Refrig Zone,400824.625,418184.594,-99996,-99996,9.8,2,,
