TABLE OffLrgCECStd13040012TrmlUnit,,,,,,,,,,,,
TABLE OffLrgCECStd13040012CoilHtg,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,FurnAFUE,FurnThrmlEff,,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,
BaseSys6 CoilHtg,BaseSys6 CoilHtg,HotWater,BaseAirSys6,NONE,106960.086,106960.086,5.34597,-99996,-99996,,,
BaseSys6 CoilHtg-Bot,BaseSys6 CoilHtg-2,HotWater,BaseAirSys6-2,NONE,91379.648,91379.648,4.56725,-99996,-99996,,,
BaseSys6 CoilHtg-Mid,BaseSys6 CoilHtg-3,HotWater,BaseAirSys6-3,NONE,73105.102,73105.102,3.65387,-99996,-99996,,,
BaseSys6 CoilHtg-Hi,BaseSys6 CoilHtg-4,HotWater,BaseAirSys6-4,NONE,73263.711,73263.711,3.66179,-99996,-99996,,,
BaseSys6 CoilHtg-Top,BaseSys6 CoilHtg-5,HotWater,BaseAirSys6-5,NONE,84016.484,84016.484,4.19923,-99996,-99996,,,
BaseVAVReheatCoil,BaseVAVBox CoilHtg,HotWater,BaseAirSys6,Basement Thermal Zone,242015.453,242015.453,12.09618,-99996,-99996,,,
BaseVAVReheatCoil-2,BaseVAVBox CoilHtg-2,HotWater,BaseAirSys6-2,Core_bottom Thermal Zone,235698.313,235698.313,11.78044,-99996,-99996,,,
BaseVAVReheatCoil-3,BaseVAVBox CoilHtg-3,HotWater,BaseAirSys6-2,Perimeter_bot_ZN_1 Thermal Zone,77638.219,77638.219,3.88044,-99996,-99996,,,
BaseVAVReheatCoil-4,BaseVAVBox CoilHtg-4,HotWater,BaseAirSys6-2,Perimeter_bot_ZN_2 Thermal Zone,50119.75,50119.75,2.50504,-99996,-99996,,,
BaseVAVReheatCoil-5,BaseVAVBox CoilHtg-5,HotWater,BaseAirSys6-2,Perimeter_bot_ZN_3 Thermal Zone,57251.188,57251.188,2.86147,-99996,-99996,,,
BaseVAVReheatCoil-6,BaseVAVBox CoilHtg-6,HotWater,BaseAirSys6-2,Perimeter_bot_ZN_4 Thermal Zone,52280.84,52280.84,2.61305,-99996,-99996,,,
BaseVAVReheatCoil-7,BaseVAVBox CoilHtg-7,HotWater,BaseAirSys6-3,Core_mid Thermal Zone,279063.875,279063.875,13.94789,-99996,-99996,,,
BaseVAVReheatCoil-8,BaseVAVBox CoilHtg-8,HotWater,BaseAirSys6-3,Perimeter_mid_ZN_1 Thermal Zone,84181.875,84181.875,4.20749,-99996,-99996,,,
BaseVAVReheatCoil-9,BaseVAVBox CoilHtg-9,HotWater,BaseAirSys6-3,Perimeter_mid_ZN_2 Thermal Zone,53712.91,53712.91,2.68463,-99996,-99996,,,
BaseVAVReheatCoil-10,BaseVAVBox CoilHtg-10,HotWater,BaseAirSys6-3,Perimeter_mid_ZN_3 Thermal Zone,62601.977,62601.977,3.12891,-99996,-99996,,,
BaseVAVReheatCoil-11,BaseVAVBox CoilHtg-11,HotWater,BaseAirSys6-3,Perimeter_mid_ZN_4 Thermal Zone,55685.832,55685.832,2.78323,-99996,-99996,,,
BaseVAVReheatCoil-12,BaseVAVBox CoilHtg-12,HotWater,BaseAirSys6-4,Core_hi Thermal Zone,279983.156,279983.156,13.99384,-99996,-99996,,,
BaseVAVReheatCoil-13,BaseVAVBox CoilHtg-13,HotWater,BaseAirSys6-4,Perimeter_hi_ZN_1 Thermal Zone,84053.383,84053.383,4.20107,-99996,-99996,,,
BaseVAVReheatCoil-14,BaseVAVBox CoilHtg-14,HotWater,BaseAirSys6-4,Perimeter_hi_ZN_2 Thermal Zone,53644.352,53644.352,2.6812,-99996,-99996,,,
BaseVAVReheatCoil-15,BaseVAVBox CoilHtg-15,HotWater,BaseAirSys6-4,Perimeter_hi_ZN_3 Thermal Zone,62590.781,62590.781,3.12835,-99996,-99996,,,
BaseVAVReheatCoil-16,BaseVAVBox CoilHtg-16,HotWater,BaseAirSys6-4,Perimeter_hi_ZN_4 Thermal Zone,55641.609,55641.609,2.78102,-99996,-99996,,,
BaseVAVReheatCoil-17,BaseVAVBox CoilHtg-17,HotWater,BaseAirSys6-5,Core_top Thermal Zone,473910.25,473910.25,23.68651,-99996,-99996,,,
BaseVAVReheatCoil-18,BaseVAVBox CoilHtg-18,HotWater,BaseAirSys6-5,Perimeter_top_ZN_1 Thermal Zone,96880.617,96880.617,4.84219,-99996,-99996,,,
BaseVAVReheatCoil-19,BaseVAVBox CoilHtg-19,HotWater,BaseAirSys6-5,Perimeter_top_ZN_2 Thermal Zone,61180.215,61180.215,3.05785,-99996,-99996,,,
BaseVAVReheatCoil-20,BaseVAVBox CoilHtg-20,HotWater,BaseAirSys6-5,Perimeter_top_ZN_3 Thermal Zone,86554.828,86554.828,4.3261,-99996,-99996,,,
BaseVAVReheatCoil-21,BaseVAVBox CoilHtg-21,HotWater,BaseAirSys6-5,Perimeter_top_ZN_4 Thermal Zone,65912.211,65912.211,3.29436,-99996,-99996,,,
ENDTABLE,,,,,,,,,,,,
TABLE OffLrgCECStd13040012Fan,,,,,,,,,,,,
PropName,BaseName,CtrlMthd,System,Zone,FlowCap,FlowMin,FlowEff,ModelingMthd,TotStaticPress,MtrHP,MtrPos,MtrEff
;,,,,,(cfm),(cfm),,,(inH2O),( hp),,
BaseSys6 Fan,BaseSys6 Fan,VariableSpeedDrive,BaseAirSys6,NONE,27232.721,5752.946,0.62,StaticPressure,4.5,40,InAirStream,0.941
BaseSys6 Fan-Bot,BaseSys6 Fan-2,VariableSpeedDrive,BaseAirSys6-2,NONE,29856.539,6823.629,0.62,StaticPressure,4.5,40,InAirStream,0.941
BaseSys6 Fan-Mid,BaseSys6 Fan-3,VariableSpeedDrive,BaseAirSys6-3,NONE,32833.461,7339.69,0.62,StaticPressure,4.5,40,InAirStream,0.941
BaseSys6 Fan-Hi,BaseSys6 Fan-4,VariableSpeedDrive,BaseAirSys6-4,NONE,32808.004,7328.862,0.62,StaticPressure,4.5,40,InAirStream,0.941
BaseSys6 Fan-Top,BaseSys6 Fan-5,VariableSpeedDrive,BaseAirSys6-5,NONE,31067.119,7102.717,0.62,StaticPressure,4.5,40,InAirStream,0.941
BaseAir6 ReliefFan,BaseRelief Fan,VariableSpeedDrive,BaseAirSys6,NONE,25315.072,0,0.5,StaticPressure,1,10,InAirStream,0.917
BaseAir6 ReliefFan-Bot,BaseRelief Fan-2,VariableSpeedDrive,BaseAirSys6-2,NONE,27938.891,0,0.5,StaticPressure,1,10,InAirStream,0.917
BaseAir6 ReliefFan-Mid,BaseRelief Fan-3,VariableSpeedDrive,BaseAirSys6-3,NONE,23245.219,0,0.5,StaticPressure,1,7.5,InAirStream,0.917
BaseAir6 ReliefFan-Hi,BaseRelief Fan-4,VariableSpeedDrive,BaseAirSys6-4,NONE,23219.762,0,0.5,StaticPressure,1,7.5,InAirStream,0.917
BaseAir6 ReliefFan-Top,BaseRelief Fan-5,VariableSpeedDrive,BaseAirSys6-5,NONE,29149.471,0,0.5,StaticPressure,1,10,InAirStream,0.917
ENDTABLE,,,,,,,,,,,,
TABLE OffLrgCECStd13040012OACtrl,,,,,,,,,,,,
PropName,BaseName,EconoCtrlMthd,System,EconoIntegration,,,,,,,,
;,,,,,,,,,,,,
BaseSys6 OACtrl,BaseSys6 OACtrl,DifferentialDryBulb,BaseAirSys6,Integrated,,,,,,,,
BaseSys6 OACtrl-Bot,BaseSys6 OACtrl-2,DifferentialDryBulb,BaseAirSys6-2,Integrated,,,,,,,,
BaseSys6 OACtrl-Mid,BaseSys6 OACtrl-3,DifferentialDryBulb,BaseAirSys6-3,Integrated,,,,,,,,
BaseSys6 OACtrl-Hi,BaseSys6 OACtrl-4,DifferentialDryBulb,BaseAirSys6-4,Integrated,,,,,,,,
BaseSys6 OACtrl-Top,BaseSys6 OACtrl-5,DifferentialDryBulb,BaseAirSys6-5,Integrated,,,,,,,,
ENDTABLE,,,,,,,,,,,,
