;,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
;,CZ:,1,,CZ:,2,,CZ:,3,,CZ:,4,,CZ:,5,,CZ:,6,,CZ:,7,,CZ:,8,,CZ:,9,,CZ:,10,,CZ:,11,,CZ:,12,,CZ:,13,,CZ:,14,,CZ:,15,,CZ:,16,
;,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane
; MoDaHr,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu
42120,7.8047,1.8200,4.4990,7.7119,1.8200,4.4990,7.7720,1.8200,4.4990,7.7308,1.8200,4.4990,7.7802,1.8200,4.4990,7.7607,1.8213,4.4990,7.9001,1.8168,4.4990,7.6729,1.8213,4.4990,7.6449,1.8213,4.4990,7.6432,1.8213,4.4990,7.7203,1.8200,4.4990,7.7281,1.8200,4.4990,7.7668,1.8200,4.4990,7.7020,1.8213,4.4990,7.7215,1.8213,4.4990,8.0286,1.8213,4.4990
42121,7.8052,1.8200,4.4990,7.7124,1.8200,4.4990,7.7725,1.8200,4.4990,7.7313,1.8200,4.4990,7.7807,1.8200,4.4990,8.0539,1.8213,4.4990,8.1931,1.8168,4.4990,7.9661,1.8213,4.4990,7.9381,1.8213,4.4990,7.9364,1.8213,4.4990,7.7208,1.8200,4.4990,7.7286,1.8200,4.4990,7.7673,1.8200,4.4990,7.9952,1.8213,4.4990,8.0147,1.8213,4.4990,8.3218,1.8213,4.4990
42122,7.5175,1.8200,4.4990,7.4248,1.8200,4.4990,7.4849,1.8200,4.4990,7.4436,1.8200,4.4990,7.4931,1.8200,4.4990,7.4505,1.8213,4.4990,7.5865,1.8168,4.4990,7.3627,1.8213,4.4990,7.3348,1.8213,4.4990,7.3331,1.8213,4.4990,7.4332,1.8200,4.4990,7.4409,1.8200,4.4990,7.4797,1.8200,4.4990,7.3919,1.8213,4.4990,7.4114,1.8213,4.4990,7.7185,1.8213,4.4990
42123,7.3520,1.8200,4.4990,7.2592,1.8200,4.4990,7.3193,1.8200,4.4990,7.2781,1.8200,4.4990,7.3275,1.8200,4.4990,7.1431,1.8213,4.4990,7.2796,1.8168,4.4990,7.0552,1.8213,4.4990,7.0273,1.8213,4.4990,7.0256,1.8213,4.4990,7.2676,1.8200,4.4990,7.2754,1.8200,4.4990,7.3141,1.8200,4.4990,7.0844,1.8213,4.4990,7.1039,1.8213,4.4990,7.4110,1.8213,4.4990
42124,7.2732,1.8200,4.4990,7.1805,1.8200,4.4990,7.2406,1.8200,4.4990,7.1993,1.8200,4.4990,7.2488,1.8200,4.4990,7.0387,1.8213,4.4990,7.1755,1.8168,4.4990,6.9509,1.8213,4.4990,6.9229,1.8213,4.4990,6.9212,1.8213,4.4990,7.1889,1.8200,4.4990,7.1966,1.8200,4.4990,7.2354,1.8200,4.4990,6.9800,1.8213,4.4990,6.9995,1.8213,4.4990,7.3066,1.8213,4.4990
42201,7.2979,1.8200,4.4990,7.2052,1.8200,4.4990,7.2653,1.8200,4.4990,7.2240,1.8200,4.4990,7.2735,1.8200,4.4990,7.0580,1.8213,4.4990,7.1948,1.8168,4.4990,6.9702,1.8213,4.4990,6.9422,1.8213,4.4990,6.9406,1.8213,4.4990,7.2136,1.8200,4.4990,7.2213,1.8200,4.4990,7.2601,1.8200,4.4990,6.9994,1.8213,4.4990,7.0188,1.8213,4.4990,7.3260,1.8213,4.4990
42202,7.2975,1.8200,4.4990,7.2047,1.8200,4.4990,7.2648,1.8200,4.4990,7.2236,1.8200,4.4990,7.2730,1.8200,4.4990,7.0478,1.8213,4.4990,7.1846,1.8168,4.4990,6.9600,1.8213,4.4990,6.9320,1.8213,4.4990,6.9303,1.8213,4.4990,7.2132,1.8200,4.4990,7.2209,1.8200,4.4990,7.2597,1.8200,4.4990,6.9891,1.8213,4.4990,7.0086,1.8213,4.4990,7.3157,1.8213,4.4990
42203,7.2973,1.8200,4.4990,7.2046,1.8200,4.4990,7.2647,1.8200,4.4990,7.2234,1.8200,4.4990,7.2729,1.8200,4.4990,7.0055,1.8213,4.4990,7.1424,1.8168,4.4990,6.9177,1.8213,4.4990,6.8898,1.8213,4.4990,6.8881,1.8213,4.4990,7.2130,1.8200,4.4990,7.2207,1.8200,4.4990,7.2595,1.8200,4.4990,6.9469,1.8213,4.4990,6.9664,1.8213,4.4990,7.2735,1.8213,4.4990
42204,7.2972,1.8200,4.4990,7.2044,1.8200,4.4990,7.2645,1.8200,4.4990,7.2233,1.8200,4.4990,7.2727,1.8200,4.4990,7.0021,1.8213,4.4990,7.1390,1.8168,4.4990,6.9143,1.8213,4.4990,6.8864,1.8213,4.4990,6.8847,1.8213,4.4990,7.2128,1.8200,4.4990,7.2206,1.8200,4.4990,7.2593,1.8200,4.4990,6.9435,1.8213,4.4990,6.9630,1.8213,4.4990,7.2701,1.8213,4.4990
42205,7.2972,1.8200,4.4990,7.2044,1.8200,4.4990,7.2645,1.8200,4.4990,7.2233,1.8200,4.4990,7.2727,1.8200,4.4990,7.0067,1.8213,4.4990,7.1435,1.8168,4.4990,6.9189,1.8213,4.4990,6.8909,1.8213,4.4990,6.8892,1.8213,4.4990,7.2128,1.8200,4.4990,7.2206,1.8200,4.4990,7.2593,1.8200,4.4990,6.9480,1.8213,4.4990,6.9675,1.8213,4.4990,7.2746,1.8213,4.4990
42206,7.2988,1.8200,4.4990,7.2061,1.8200,4.4990,7.2662,1.8200,4.4990,7.2249,1.8200,4.4990,7.2744,1.8200,4.4990,7.0628,1.8213,4.4990,7.1995,1.8168,4.4990,6.9749,1.8213,4.4990,6.9470,1.8213,4.4990,6.9453,1.8213,4.4990,7.2145,1.8200,4.4990,7.2222,1.8200,4.4990,7.2610,1.8200,4.4990,7.0041,1.8213,4.4990,7.0236,1.8213,4.4990,7.3307,1.8213,4.4990
42207,7.2999,1.8200,4.4990,7.2071,1.8200,4.4990,7.2672,1.8200,4.4990,7.2260,1.8200,4.4990,7.2754,1.8200,4.4990,7.0682,1.8213,4.4990,7.2049,1.8168,4.4990,6.9804,1.8213,4.4990,6.9524,1.8213,4.4990,6.9507,1.8213,4.4990,7.2155,1.8200,4.4990,7.2233,1.8200,4.4990,7.2620,1.8200,4.4990,7.0096,1.8213,4.4990,7.0290,1.8213,4.4990,7.3362,1.8213,4.4990
42208,7.3489,1.8200,4.4990,7.2561,1.8200,4.4990,7.3162,1.8200,4.4990,7.2750,1.8200,4.4990,7.3244,1.8200,4.4990,7.0081,1.8213,4.4990,7.1481,1.8168,4.4990,6.9203,1.8213,4.4990,6.8923,1.8213,4.4990,6.8906,1.8213,4.4990,7.2645,1.8200,4.4990,7.2723,1.8200,4.4990,7.3110,1.8200,4.4990,6.9494,1.8213,4.4990,6.9689,1.8213,4.4990,7.2760,1.8213,4.4990
42209,7.3497,1.8200,4.4990,7.2570,1.8200,4.4990,7.3171,1.8200,4.4990,7.2758,1.8200,4.4990,7.3252,1.8200,4.4990,6.8907,1.8213,4.4990,7.0308,1.8168,4.4990,6.8029,1.8213,4.4990,6.7750,1.8213,4.4990,6.7733,1.8213,4.4990,7.2654,1.8200,4.4990,7.2731,1.8200,4.4990,7.3119,1.8200,4.4990,6.8321,1.8213,4.4990,6.8516,1.8213,4.4990,7.1587,1.8213,4.4990
42210,7.3420,1.8200,4.4990,7.2492,1.8200,4.4990,7.3093,1.8200,4.4990,7.2681,1.8200,4.4990,7.3175,1.8200,4.4990,6.7731,1.8213,4.4990,6.9133,1.8168,4.4990,6.6853,1.8213,4.4990,6.6574,1.8213,4.4990,6.6557,1.8213,4.4990,7.2576,1.8200,4.4990,7.2654,1.8200,4.4990,7.3041,1.8200,4.4990,6.7145,1.8213,4.4990,6.7339,1.8213,4.4990,7.0411,1.8213,4.4990
42211,7.2290,1.8200,4.4990,7.1362,1.8200,4.4990,7.1963,1.8200,4.4990,7.1551,1.8200,4.4990,7.2045,1.8200,4.4990,6.8292,1.8213,4.4990,6.9693,1.8168,4.4990,6.7414,1.8213,4.4990,6.7134,1.8213,4.4990,6.7118,1.8213,4.4990,7.1446,1.8200,4.4990,7.1524,1.8200,4.4990,7.1911,1.8200,4.4990,6.7706,1.8213,4.4990,6.7900,1.8213,4.4990,7.0972,1.8213,4.4990
42212,7.2246,1.8200,4.4990,7.1318,1.8200,4.4990,7.1919,1.8200,4.4990,7.1507,1.8200,4.4990,7.2001,1.8200,4.4990,6.8248,1.8213,4.4990,6.9649,1.8168,4.4990,6.7370,1.8213,4.4990,6.7090,1.8213,4.4990,6.7074,1.8213,4.4990,7.1403,1.8200,4.4990,7.1480,1.8200,4.4990,7.1868,1.8200,4.4990,6.7662,1.8213,4.4990,6.7856,1.8213,4.4990,7.0928,1.8213,4.4990
42213,7.2289,1.8200,4.4990,7.1362,1.8200,4.4990,7.1963,1.8200,4.4990,7.1550,1.8200,4.4990,7.2045,1.8200,4.4990,6.8331,1.8213,4.4990,6.9732,1.8168,4.4990,6.7452,1.8213,4.4990,6.7173,1.8213,4.4990,6.7156,1.8213,4.4990,7.1446,1.8200,4.4990,7.1523,1.8200,4.4990,7.1911,1.8200,4.4990,6.7744,1.8213,4.4990,6.7939,1.8213,4.4990,7.1010,1.8213,4.4990
42214,7.2458,1.8200,4.4990,7.1530,1.8200,4.4990,7.2131,1.8200,4.4990,7.1719,1.8200,4.4990,7.2213,1.8200,4.4990,6.8328,1.8213,4.4990,6.9747,1.8168,4.4990,6.7450,1.8213,4.4990,6.7170,1.8213,4.4990,6.7153,1.8213,4.4990,7.1614,1.8200,4.4990,7.1692,1.8200,4.4990,7.2079,1.8200,4.4990,6.7741,1.8213,4.4990,6.7936,1.8213,4.4990,7.1007,1.8213,4.4990
42215,7.3356,1.8200,4.4990,7.2429,1.8200,4.4990,7.3030,1.8200,4.4990,7.2617,1.8200,4.4990,7.3112,1.8200,4.4990,6.8515,1.8213,4.4990,6.9934,1.8168,4.4990,6.7637,1.8213,4.4990,6.7357,1.8213,4.4990,6.7340,1.8213,4.4990,7.2513,1.8200,4.4990,7.2590,1.8200,4.4990,7.2978,1.8200,4.4990,6.7928,1.8213,4.4990,6.8123,1.8213,4.4990,7.1194,1.8213,4.4990
42216,7.3371,1.8200,4.4990,7.2443,1.8200,4.4990,7.3044,1.8200,4.4990,7.2632,1.8200,4.4990,7.3126,1.8200,4.4990,6.9155,1.8213,4.4990,7.0573,1.8168,4.4990,6.8277,1.8213,4.4990,6.7997,1.8213,4.4990,6.7980,1.8213,4.4990,7.2528,1.8200,4.4990,7.2605,1.8200,4.4990,7.2992,1.8200,4.4990,6.8568,1.8213,4.4990,6.8763,1.8213,4.4990,7.1834,1.8213,4.4990
42217,7.3368,1.8200,4.4990,7.2440,1.8200,4.4990,7.3041,1.8200,4.4990,7.2629,1.8200,4.4990,7.3123,1.8200,4.4990,7.0066,1.8213,4.4990,7.1485,1.8168,4.4990,6.9188,1.8213,4.4990,6.8909,1.8213,4.4990,6.8892,1.8213,4.4990,7.2524,1.8200,4.4990,7.2602,1.8200,4.4990,7.2989,1.8200,4.4990,6.9480,1.8213,4.4990,6.9675,1.8213,4.4990,7.2746,1.8213,4.4990
42218,7.3438,1.8200,4.4990,7.2511,1.8200,4.4990,7.3112,1.8200,4.4990,7.2699,1.8200,4.4990,7.3194,1.8200,4.4990,7.1060,1.8213,4.4990,7.2479,1.8168,4.4990,7.0182,1.8213,4.4990,6.9903,1.8213,4.4990,6.9886,1.8213,4.4990,7.2595,1.8200,4.4990,7.2672,1.8200,4.4990,7.3060,1.8200,4.4990,7.0474,1.8213,4.4990,7.0669,1.8213,4.4990,7.3740,1.8213,4.4990
42219,7.5586,1.8200,4.4990,7.4659,1.8200,4.4990,7.5260,1.8200,4.4990,7.4847,1.8200,4.4990,7.5342,1.8200,4.4990,7.4266,1.8213,4.4990,7.5685,1.8168,4.4990,7.3388,1.8213,4.4990,7.3108,1.8213,4.4990,7.3091,1.8213,4.4990,7.4743,1.8200,4.4990,7.4820,1.8200,4.4990,7.5208,1.8200,4.4990,7.3679,1.8213,4.4990,7.3874,1.8213,4.4990,7.6945,1.8213,4.4990
42220,7.5803,1.8200,4.4990,7.4875,1.8200,4.4990,7.5476,1.8200,4.4990,7.5064,1.8200,4.4990,7.5558,1.8200,4.4990,7.5661,1.8213,4.4990,7.7056,1.8168,4.4990,7.4783,1.8213,4.4990,7.4503,1.8213,4.4990,7.4486,1.8213,4.4990,7.4960,1.8200,4.4990,7.5037,1.8200,4.4990,7.5425,1.8200,4.4990,7.5075,1.8213,4.4990,7.5269,1.8213,4.4990,7.8341,1.8213,4.4990
42221,7.3838,1.8200,4.4990,7.2910,1.8200,4.4990,7.3511,1.8200,4.4990,7.3099,1.8200,4.4990,7.3593,1.8200,4.4990,7.5741,1.8213,4.4990,7.7136,1.8168,4.4990,7.4863,1.8213,4.4990,7.4583,1.8213,4.4990,7.4566,1.8213,4.4990,7.2995,1.8200,4.4990,7.3072,1.8200,4.4990,7.3459,1.8200,4.4990,7.5154,1.8213,4.4990,7.5349,1.8213,4.4990,7.8420,1.8213,4.4990
42222,7.3232,1.8200,4.4990,7.2305,1.8200,4.4990,7.2906,1.8200,4.4990,7.2493,1.8200,4.4990,7.2988,1.8200,4.4990,7.3197,1.8213,4.4990,7.4559,1.8168,4.4990,7.2318,1.8213,4.4990,7.2039,1.8213,4.4990,7.2022,1.8213,4.4990,7.2389,1.8200,4.4990,7.2466,1.8200,4.4990,7.2854,1.8200,4.4990,7.2610,1.8213,4.4990,7.2805,1.8213,4.4990,7.5876,1.8213,4.4990
42223,7.3063,1.8200,4.4990,7.2135,1.8200,4.4990,7.2736,1.8200,4.4990,7.2324,1.8200,4.4990,7.2818,1.8200,4.4990,7.0894,1.8213,4.4990,7.2261,1.8168,4.4990,7.0016,1.8213,4.4990,6.9737,1.8213,4.4990,6.9720,1.8213,4.4990,7.2219,1.8200,4.4990,7.2297,1.8200,4.4990,7.2684,1.8200,4.4990,7.0308,1.8213,4.4990,7.0503,1.8213,4.4990,7.3574,1.8213,4.4990
42224,7.3011,1.8200,4.4990,7.2084,1.8200,4.4990,7.2685,1.8200,4.4990,7.2272,1.8200,4.4990,7.2767,1.8200,4.4990,7.0186,1.8213,4.4990,7.1554,1.8168,4.4990,6.9308,1.8213,4.4990,6.9029,1.8213,4.4990,6.9012,1.8213,4.4990,7.2168,1.8200,4.4990,7.2245,1.8200,4.4990,7.2633,1.8200,4.4990,6.9600,1.8213,4.4990,6.9794,1.8213,4.4990,7.2866,1.8213,4.4990
42301,7.2166,1.8200,4.4990,7.1238,1.8200,4.4990,7.1839,1.8200,4.4990,7.1427,1.8200,4.4990,7.1921,1.8200,4.4990,6.9422,1.8213,4.4990,7.0792,1.8168,4.4990,6.8544,1.8213,4.4990,6.8265,1.8213,4.4990,6.8248,1.8213,4.4990,7.1323,1.8200,4.4990,7.1400,1.8200,4.4990,7.1788,1.8200,4.4990,6.8836,1.8213,4.4990,6.9031,1.8213,4.4990,7.2102,1.8213,4.4990
42302,7.2163,1.8200,4.4990,7.1236,1.8200,4.4990,7.1837,1.8200,4.4990,7.1424,1.8200,4.4990,7.1918,1.8200,4.4990,6.9100,1.8213,4.4990,7.0470,1.8168,4.4990,6.8222,1.8213,4.4990,6.7942,1.8213,4.4990,6.7926,1.8213,4.4990,7.1320,1.8200,4.4990,7.1397,1.8200,4.4990,7.1785,1.8200,4.4990,6.8514,1.8213,4.4990,6.8708,1.8213,4.4990,7.1780,1.8213,4.4990
42303,7.2161,1.8200,4.4990,7.1233,1.8200,4.4990,7.1834,1.8200,4.4990,7.1422,1.8200,4.4990,7.1916,1.8200,4.4990,6.9057,1.8213,4.4990,7.0427,1.8168,4.4990,6.8179,1.8213,4.4990,6.7899,1.8213,4.4990,6.7882,1.8213,4.4990,7.1318,1.8200,4.4990,7.1395,1.8200,4.4990,7.1782,1.8200,4.4990,6.8471,1.8213,4.4990,6.8665,1.8213,4.4990,7.1737,1.8213,4.4990
42304,7.2160,1.8200,4.4990,7.1232,1.8200,4.4990,7.1833,1.8200,4.4990,7.1420,1.8200,4.4990,7.1915,1.8200,4.4990,6.9053,1.8213,4.4990,7.0424,1.8168,4.4990,6.8175,1.8213,4.4990,6.7895,1.8213,4.4990,6.7879,1.8213,4.4990,7.1316,1.8200,4.4990,7.1394,1.8200,4.4990,7.1781,1.8200,4.4990,6.8467,1.8213,4.4990,6.8661,1.8213,4.4990,7.1733,1.8213,4.4990
42305,7.2160,1.8200,4.4990,7.1232,1.8200,4.4990,7.1833,1.8200,4.4990,7.1420,1.8200,4.4990,7.1915,1.8200,4.4990,6.9074,1.8213,4.4990,7.0444,1.8168,4.4990,6.8195,1.8213,4.4990,6.7916,1.8213,4.4990,6.7899,1.8213,4.4990,7.1316,1.8200,4.4990,7.1394,1.8200,4.4990,7.1781,1.8200,4.4990,6.8487,1.8213,4.4990,6.8682,1.8213,4.4990,7.1753,1.8213,4.4990
42306,7.2648,1.8200,4.4990,7.1721,1.8200,4.4990,7.2322,1.8200,4.4990,7.1909,1.8200,4.4990,7.2404,1.8200,4.4990,6.9587,1.8213,4.4990,7.0956,1.8168,4.4990,6.8709,1.8213,4.4990,6.8429,1.8213,4.4990,6.8413,1.8213,4.4990,7.1805,1.8200,4.4990,7.1882,1.8200,4.4990,7.2270,1.8200,4.4990,6.9001,1.8213,4.4990,6.9195,1.8213,4.4990,7.2267,1.8213,4.4990
42307,7.2676,1.8200,4.4990,7.1748,1.8200,4.4990,7.2349,1.8200,4.4990,7.1937,1.8200,4.4990,7.2431,1.8200,4.4990,6.9643,1.8213,4.4990,7.1012,1.8168,4.4990,6.8765,1.8213,4.4990,6.8485,1.8213,4.4990,6.8469,1.8213,4.4990,7.1833,1.8200,4.4990,7.1910,1.8200,4.4990,7.2298,1.8200,4.4990,6.9057,1.8213,4.4990,6.9251,1.8213,4.4990,7.2323,1.8213,4.4990
42308,7.2658,1.8200,4.4990,7.1730,1.8200,4.4990,7.2331,1.8200,4.4990,7.1919,1.8200,4.4990,7.2413,1.8200,4.4990,6.5619,1.8213,4.4990,6.7023,1.8168,4.4990,6.4741,1.8213,4.4990,6.4462,1.8213,4.4990,6.4445,1.8213,4.4990,7.1814,1.8200,4.4990,7.1892,1.8200,4.4990,7.2279,1.8200,4.4990,6.5033,1.8213,4.4990,6.5228,1.8213,4.4990,6.8299,1.8213,4.4990
42309,7.2660,1.8200,4.4990,7.1732,1.8200,4.4990,7.2333,1.8200,4.4990,7.1921,1.8200,4.4990,7.2415,1.8200,4.4990,6.0829,1.8213,4.4990,6.2238,1.8168,4.4990,5.9951,1.8213,4.4990,5.9671,1.8213,4.4990,5.9654,1.8213,4.4990,7.1816,1.8200,4.4990,7.1894,1.8200,4.4990,7.2281,1.8200,4.4990,6.0242,1.8213,4.4990,6.0437,1.8213,4.4990,6.3508,1.8213,4.4990
42310,7.1993,1.8200,4.4990,7.1065,1.8200,4.4990,7.1666,1.8200,4.4990,7.1254,1.8200,4.4990,7.1748,1.8200,4.4990,6.0026,1.8213,4.4990,6.1436,1.8168,4.4990,5.9148,1.8213,4.4990,5.8869,1.8213,4.4990,5.8852,1.8213,4.4990,7.1149,1.8200,4.4990,7.1227,1.8200,4.4990,7.1614,1.8200,4.4990,5.9440,1.8213,4.4990,5.9635,1.8213,4.4990,6.2706,1.8213,4.4990
42311,7.1949,1.8200,4.4990,7.1022,1.8200,4.4990,7.1623,1.8200,4.4990,7.1210,1.8200,4.4990,7.1705,1.8200,4.4990,6.0623,1.8213,4.4990,6.2032,1.8168,4.4990,5.9745,1.8213,4.4990,5.9465,1.8213,4.4990,5.9448,1.8213,4.4990,7.1106,1.8200,4.4990,7.1183,1.8200,4.4990,7.1571,1.8200,4.4990,6.0036,1.8213,4.4990,6.0231,1.8213,4.4990,6.3302,1.8213,4.4990
42312,7.1902,1.8200,4.4990,7.0975,1.8200,4.4990,7.1576,1.8200,4.4990,7.1163,1.8200,4.4990,7.1658,1.8200,4.4990,6.0759,1.8213,4.4990,6.2168,1.8168,4.4990,5.9881,1.8213,4.4990,5.9601,1.8213,4.4990,5.9584,1.8213,4.4990,7.1059,1.8200,4.4990,7.1136,1.8200,4.4990,7.1524,1.8200,4.4990,6.0172,1.8213,4.4990,6.0367,1.8213,4.4990,6.3438,1.8213,4.4990
42313,7.2002,1.8200,4.4990,7.1074,1.8200,4.4990,7.1675,1.8200,4.4990,7.1263,1.8200,4.4990,7.1757,1.8200,4.4990,6.1325,1.8213,4.4990,6.2733,1.8168,4.4990,6.0447,1.8213,4.4990,6.0167,1.8213,4.4990,6.0150,1.8213,4.4990,7.1158,1.8200,4.4990,7.1236,1.8200,4.4990,7.1623,1.8200,4.4990,6.0738,1.8213,4.4990,6.0933,1.8213,4.4990,6.4004,1.8213,4.4990
42314,7.1887,1.8200,4.4990,7.0959,1.8200,4.4990,7.1560,1.8200,4.4990,7.1148,1.8200,4.4990,7.1642,1.8200,4.4990,6.1614,1.8213,4.4990,6.3032,1.8168,4.4990,6.0735,1.8213,4.4990,6.0456,1.8213,4.4990,6.0439,1.8213,4.4990,7.1044,1.8200,4.4990,7.1121,1.8200,4.4990,7.1508,1.8200,4.4990,6.1027,1.8213,4.4990,6.1222,1.8213,4.4990,6.4293,1.8213,4.4990
42315,7.1889,1.8200,4.4990,7.0962,1.8200,4.4990,7.1563,1.8200,4.4990,7.1150,1.8200,4.4990,7.1645,1.8200,4.4990,6.3960,1.8213,4.4990,6.5379,1.8168,4.4990,6.3082,1.8213,4.4990,6.2802,1.8213,4.4990,6.2786,1.8213,4.4990,7.1046,1.8200,4.4990,7.1124,1.8200,4.4990,7.1511,1.8200,4.4990,6.3374,1.8213,4.4990,6.3568,1.8213,4.4990,6.6640,1.8213,4.4990
42316,7.2441,1.8200,4.4990,7.1513,1.8200,4.4990,7.2114,1.8200,4.4990,7.1702,1.8200,4.4990,7.2196,1.8200,4.4990,6.7105,1.8213,4.4990,6.8524,1.8168,4.4990,6.6227,1.8213,4.4990,6.5947,1.8213,4.4990,6.5930,1.8213,4.4990,7.1597,1.8200,4.4990,7.1675,1.8200,4.4990,7.2062,1.8200,4.4990,6.6518,1.8213,4.4990,6.6713,1.8213,4.4990,6.9784,1.8213,4.4990
42317,7.2548,1.8200,4.4990,7.1621,1.8200,4.4990,7.2222,1.8200,4.4990,7.1809,1.8200,4.4990,7.2304,1.8200,4.4990,6.9459,1.8213,4.4990,7.0878,1.8168,4.4990,6.8581,1.8213,4.4990,6.8301,1.8213,4.4990,6.8285,1.8213,4.4990,7.1705,1.8200,4.4990,7.1782,1.8200,4.4990,7.2170,1.8200,4.4990,6.8873,1.8213,4.4990,6.9067,1.8213,4.4990,7.2139,1.8213,4.4990
42318,7.3084,1.8200,4.4990,7.2157,1.8200,4.4990,7.2758,1.8200,4.4990,7.2345,1.8200,4.4990,7.2839,1.8200,4.4990,7.0863,1.8213,4.4990,7.2282,1.8168,4.4990,6.9985,1.8213,4.4990,6.9705,1.8213,4.4990,6.9688,1.8213,4.4990,7.2241,1.8200,4.4990,7.2318,1.8200,4.4990,7.2706,1.8200,4.4990,7.0276,1.8213,4.4990,7.0471,1.8213,4.4990,7.3542,1.8213,4.4990
42319,7.3217,1.8200,4.4990,7.2289,1.8200,4.4990,7.2890,1.8200,4.4990,7.2478,1.8200,4.4990,7.2972,1.8200,4.4990,7.4281,1.8213,4.4990,7.5700,1.8168,4.4990,7.3403,1.8213,4.4990,7.3123,1.8213,4.4990,7.3106,1.8213,4.4990,7.2373,1.8200,4.4990,7.2451,1.8200,4.4990,7.2838,1.8200,4.4990,7.3694,1.8213,4.4990,7.3889,1.8213,4.4990,7.6960,1.8213,4.4990
42320,7.3346,1.8200,4.4990,7.2419,1.8200,4.4990,7.3020,1.8200,4.4990,7.2607,1.8200,4.4990,7.3102,1.8200,4.4990,7.4357,1.8213,4.4990,7.5753,1.8168,4.4990,7.3478,1.8213,4.4990,7.3199,1.8213,4.4990,7.3182,1.8213,4.4990,7.2503,1.8200,4.4990,7.2581,1.8200,4.4990,7.2968,1.8200,4.4990,7.3770,1.8213,4.4990,7.3965,1.8213,4.4990,7.7036,1.8213,4.4990
42321,7.3345,1.8200,4.4990,7.2417,1.8200,4.4990,7.3018,1.8200,4.4990,7.2606,1.8200,4.4990,7.3100,1.8200,4.4990,7.5100,1.8213,4.4990,7.6496,1.8168,4.4990,7.4222,1.8213,4.4990,7.3943,1.8213,4.4990,7.3926,1.8213,4.4990,7.2501,1.8200,4.4990,7.2579,1.8200,4.4990,7.2966,1.8200,4.4990,7.4514,1.8213,4.4990,7.4709,1.8213,4.4990,7.7780,1.8213,4.4990
42322,7.2710,1.8200,4.4990,7.1783,1.8200,4.4990,7.2384,1.8200,4.4990,7.1971,1.8200,4.4990,7.2466,1.8200,4.4990,7.1091,1.8213,4.4990,7.2458,1.8168,4.4990,7.0213,1.8213,4.4990,6.9934,1.8213,4.4990,6.9917,1.8213,4.4990,7.1867,1.8200,4.4990,7.1944,1.8200,4.4990,7.2332,1.8200,4.4990,7.0505,1.8213,4.4990,7.0700,1.8213,4.4990,7.3771,1.8213,4.4990
42323,7.2703,1.8200,4.4990,7.1775,1.8200,4.4990,7.2376,1.8200,4.4990,7.1964,1.8200,4.4990,7.2458,1.8200,4.4990,7.0468,1.8213,4.4990,7.1835,1.8168,4.4990,6.9590,1.8213,4.4990,6.9310,1.8213,4.4990,6.9293,1.8213,4.4990,7.1859,1.8200,4.4990,7.1937,1.8200,4.4990,7.2324,1.8200,4.4990,6.9881,1.8213,4.4990,7.0076,1.8213,4.4990,7.3147,1.8213,4.4990
42324,7.2293,1.8200,4.4990,7.1365,1.8200,4.4990,7.1966,1.8200,4.4990,7.1554,1.8200,4.4990,7.2048,1.8200,4.4990,6.9928,1.8213,4.4990,7.1297,1.8168,4.4990,6.9050,1.8213,4.4990,6.8771,1.8213,4.4990,6.8754,1.8213,4.4990,7.1449,1.8200,4.4990,7.1527,1.8200,4.4990,7.1914,1.8200,4.4990,6.9342,1.8213,4.4990,6.9536,1.8213,4.4990,7.2608,1.8213,4.4990
42401,7.0887,1.8200,4.4990,6.9959,1.8200,4.4990,7.0560,1.8200,4.4990,7.0148,1.8200,4.4990,7.0642,1.8200,4.4990,6.8208,1.8213,4.4990,6.9581,1.8168,4.4990,6.7330,1.8213,4.4990,6.7051,1.8213,4.4990,6.7034,1.8213,4.4990,7.0044,1.8200,4.4990,7.0121,1.8200,4.4990,7.0509,1.8200,4.4990,6.7622,1.8213,4.4990,6.7817,1.8213,4.4990,7.0888,1.8213,4.4990
