;,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
;,CZ:,1,,CZ:,2,,CZ:,3,,CZ:,4,,CZ:,5,,CZ:,6,,CZ:,7,,CZ:,8,,CZ:,9,,CZ:,10,,CZ:,11,,CZ:,12,,CZ:,13,,CZ:,14,,CZ:,15,,CZ:,16,
;,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane
; MoDaHr,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu
10109,7.6272,2.2317,4.9261,7.5345,2.2317,4.9261,7.5946,2.2317,4.9261,7.5533,2.2317,4.9261,7.6028,2.2317,4.9261,7.3553,2.2532,4.9261,7.4913,2.1896,4.9261,7.2675,2.2532,4.9261,7.2396,2.2532,4.9261,7.2379,2.2532,4.9261,7.5429,2.2317,4.9261,7.5506,2.2317,4.9261,7.5894,2.2317,4.9261,7.2967,2.2532,4.9261,7.3162,2.2532,4.9261,7.6233,2.2532,4.9261
10110,7.1692,2.2317,4.9261,7.0764,2.2317,4.9261,7.1365,2.2317,4.9261,7.0953,2.2317,4.9261,7.1447,2.2317,4.9261,6.9359,2.2532,4.9261,7.0728,2.1896,4.9261,6.8481,2.2532,4.9261,6.8202,2.2532,4.9261,6.8185,2.2532,4.9261,7.0848,2.2317,4.9261,7.0926,2.2317,4.9261,7.1313,2.2317,4.9261,6.8773,2.2532,4.9261,6.8968,2.2532,4.9261,7.2039,2.2532,4.9261
10111,7.1367,2.2317,4.9261,7.0440,2.2317,4.9261,7.1041,2.2317,4.9261,7.0628,2.2317,4.9261,7.1123,2.2317,4.9261,6.9012,2.2532,4.9261,7.0382,2.1896,4.9261,6.8134,2.2532,4.9261,6.7854,2.2532,4.9261,6.7837,2.2532,4.9261,7.0524,2.2317,4.9261,7.0601,2.2317,4.9261,7.0989,2.2317,4.9261,6.8425,2.2532,4.9261,6.8620,2.2532,4.9261,7.1691,2.2532,4.9261
10112,7.1078,2.2317,4.9261,7.0151,2.2317,4.9261,7.0752,2.2317,4.9261,7.0339,2.2317,4.9261,7.0834,2.2317,4.9261,6.8503,2.2532,4.9261,6.9874,2.1896,4.9261,6.7625,2.2532,4.9261,6.7345,2.2532,4.9261,6.7329,2.2532,4.9261,7.0235,2.2317,4.9261,7.0312,2.2317,4.9261,7.0700,2.2317,4.9261,6.7917,2.2532,4.9261,6.8111,2.2532,4.9261,7.1183,2.2532,4.9261
10113,7.1305,2.2317,4.9261,7.0378,2.2317,4.9261,7.0979,2.2317,4.9261,7.0566,2.2317,4.9261,7.1061,2.2317,4.9261,6.8436,2.2532,4.9261,6.9808,2.1896,4.9261,6.7558,2.2532,4.9261,6.7279,2.2532,4.9261,6.7262,2.2532,4.9261,7.0462,2.2317,4.9261,7.0539,2.2317,4.9261,7.0927,2.2317,4.9261,6.7850,2.2532,4.9261,6.8044,2.2532,4.9261,7.1116,2.2532,4.9261
10114,7.1294,2.2317,4.9261,7.0366,2.2317,4.9261,7.0967,2.2317,4.9261,7.0555,2.2317,4.9261,7.1049,2.2317,4.9261,6.8532,2.2532,4.9261,6.9903,2.1896,4.9261,6.7654,2.2532,4.9261,6.7374,2.2532,4.9261,6.7358,2.2532,4.9261,7.0450,2.2317,4.9261,7.0528,2.2317,4.9261,7.0915,2.2317,4.9261,6.7946,2.2532,4.9261,6.8140,2.2532,4.9261,7.1212,2.2532,4.9261
10115,7.1728,2.2317,4.9261,7.0801,2.2317,4.9261,7.1402,2.2317,4.9261,7.0989,2.2317,4.9261,7.1484,2.2317,4.9261,6.9136,2.2532,4.9261,7.0505,2.1896,4.9261,6.8258,2.2532,4.9261,6.7978,2.2532,4.9261,6.7961,2.2532,4.9261,7.0885,2.2317,4.9261,7.0962,2.2317,4.9261,7.1350,2.2317,4.9261,6.8549,2.2532,4.9261,6.8744,2.2532,4.9261,7.1815,2.2532,4.9261
10116,7.5877,2.2317,4.9261,7.4950,2.2317,4.9261,7.5551,2.2317,4.9261,7.5138,2.2317,4.9261,7.5633,2.2317,4.9261,7.3260,2.2532,4.9261,7.4620,2.1896,4.9261,7.2381,2.2532,4.9261,7.2102,2.2532,4.9261,7.2085,2.2532,4.9261,7.5034,2.2317,4.9261,7.5111,2.2317,4.9261,7.5499,2.2317,4.9261,7.2673,2.2532,4.9261,7.2868,2.2532,4.9261,7.5939,2.2532,4.9261
10117,7.6958,2.2317,4.9261,7.6030,2.2317,4.9261,7.6631,2.2317,4.9261,7.6219,2.2317,4.9261,7.6713,2.2317,4.9261,7.4984,2.2532,4.9261,7.6341,2.1896,4.9261,7.4106,2.2532,4.9261,7.3826,2.2532,4.9261,7.3809,2.2532,4.9261,7.6115,2.2317,4.9261,7.6192,2.2317,4.9261,7.6580,2.2317,4.9261,7.4397,2.2532,4.9261,7.4592,2.2532,4.9261,7.7663,2.2532,4.9261
10118,7.6993,2.2317,4.9261,7.6066,2.2317,4.9261,7.6667,2.2317,4.9261,7.6254,2.2317,4.9261,7.6749,2.2317,4.9261,7.5371,2.2532,4.9261,7.6727,2.1896,4.9261,7.4492,2.2532,4.9261,7.4213,2.2532,4.9261,7.4196,2.2532,4.9261,7.6150,2.2317,4.9261,7.6227,2.2317,4.9261,7.6615,2.2317,4.9261,7.4784,2.2532,4.9261,7.4979,2.2532,4.9261,7.8050,2.2532,4.9261
