TABLE RetlLrgCECStd16090012TrmlUnit,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,
Restroom_2_CoilHtg,BaseSys7 CoilHtg-7,Furnace,BaseAirSys7-7,Restroom_2 Zone,77736.398,77736.398,0,0.78,0.8,,,
Side_Entry_1_CoilHtg,BaseSys7 CoilHtg-8,Furnace,BaseAirSys7-8,Side_Entry_1 Zone,318124.5,318124.5,0,-99996,0.8,,,
Side_Entry_2_CoilHtg,BaseSys7 CoilHtg-9,Furnace,BaseAirSys7-9,Side_Entry_2 Zone,323628.188,323628.188,0,-99996,0.8,,,
Side_Shelving_East_CoilHtg,BaseSys7 CoilHtg-10,Furnace,BaseAirSys7-10,Side_Shelving_East Zone,473252.344,473252.344,0,-99996,0.8,,,
Side_Shelving_West_CoilHtg,BaseSys7 CoilHtg-11,Furnace,BaseAirSys7-11,Side_Shelving_West Zone,472394.969,472394.969,0,-99996,0.8,,,
Side_Storage_1_CoilHtg,BaseSys7 CoilHtg-12,Furnace,BaseAirSys7-12,Side_Storage_1 Zone,262821.844,262821.844,0,-99996,0.8,,,
Side_Storage_2_CoilHtg,BaseSys7 CoilHtg-13,Furnace,BaseAirSys7-13,Side_Storage_2 Zone,114487.734,114487.734,0,0.78,0.8,,,
ENDTABLE,,,,,,,,,,,,
TABLE RetlLrgCECStd16090012Fan,,,,,,,,,,,,
PropName,BaseName,CtrlMthd,System,Zone,FlowCap,FlowMin,FlowEff,ModelingMthd,TotStaticPress,MtrHP,MtrPos,MtrEff
;,,,,,(cfm),(cfm),,,(inH2O),( hp),,
Back_Office_SupplyFan,BaseSys7 Fan,VariableSpeedDrive,BaseAirSys7,Back_Office Zone,3655.164,1827.582,0.6,StaticPressure,3,3,InAirStream,0.895
Back_Shelving/Refrig_SupplyFan,BaseSys7 Fan-2,VariableSpeedDrive,BaseAirSys7-2,Back_Shelving/Refrig Zone,14376.448,7188.224,0.62,StaticPressure,3.5,15,InAirStream,0.924
Back_Storage_SupplyFan,BaseSys7 Fan-3,VariableSpeedDrive,BaseAirSys7-3,Back_Storage Zone,11786.116,5893.058,0.62,StaticPressure,3.5,15,InAirStream,0.924
Main_Entry_SupplyFan,BaseSys7 Fan-4,VariableSpeedDrive,BaseAirSys7-4,Main_Entry Zone,9431.384,4715.692,0.6,StaticPressure,3,7.5,InAirStream,0.917
Registers/Aisle_SupplyFan,BaseSys7 Fan-5,VariableSpeedDrive,BaseAirSys7-5,Registers/Aisle Zone,18462.318,9231.159,0.62,StaticPressure,3.5,20,InAirStream,0.93
Restroom_1_SupplyFan,BaseSys7 Fan-6,VariableSpeedDrive,BaseAirSys7-6,Restroom_1 Zone,3357.784,1678.892,0.6,StaticPressure,3,3,InAirStream,0.895
Restroom_2_SupplyFan,BaseSys7 Fan-7,VariableSpeedDrive,BaseAirSys7-7,Restroom_2 Zone,3359.644,1679.822,0.6,StaticPressure,3,3,InAirStream,0.895
Side_Entry_1_SupplyFan,BaseSys7 Fan-8,VariableSpeedDrive,BaseAirSys7-8,Side_Entry_1 Zone,9623.413,4811.707,0.6,StaticPressure,3,10,InAirStream,0.917
Side_Entry_2_SupplyFan,BaseSys7 Fan-9,VariableSpeedDrive,BaseAirSys7-9,Side_Entry_2 Zone,9977.96,4988.98,0.6,StaticPressure,3,10,InAirStream,0.917
Side_Shelving_East_SupplyFan,BaseSys7 Fan-10,VariableSpeedDrive,BaseAirSys7-10,Side_Shelving_East Zone,18420.623,9210.312,0.62,StaticPressure,3.5,20,InAirStream,0.93
Side_Shelving_West_SupplyFan,BaseSys7 Fan-11,VariableSpeedDrive,BaseAirSys7-11,Side_Shelving_West Zone,18349.668,9174.834,0.62,StaticPressure,3.5,20,InAirStream,0.93
Side_Storage_1_SupplyFan,BaseSys7 Fan-12,VariableSpeedDrive,BaseAirSys7-12,Side_Storage_1 Zone,10642.677,5321.338,0.62,StaticPressure,3.5,10,InAirStream,0.917
Side_Storage_2_SupplyFan,BaseSys7 Fan-13,VariableSpeedDrive,BaseAirSys7-13,Side_Storage_2 Zone,4929.065,2464.533,0.6,StaticPressure,3,5,InAirStream,0.895
Back_Office_ReliefFan,BaseRelief Fan,VariableSpeedDrive,BaseAirSys7,Back_Office Zone,3505.164,0,0.4,StaticPressure,0.75,1.5,InAirStream,0.865
Back_Shelving/Refrig_ReliefFan,BaseRelief Fan-2,VariableSpeedDrive,BaseAirSys7-2,Back_Shelving/Refrig Zone,12026.448,0,0.5,StaticPressure,1,5,InAirStream,0.895
